Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
tool,org.antlr.v4.misc,OrderedHashMap,getKey,3,1,1,21,0,,
tool,org.antlr.v4.misc,OrderedHashMap,getElement,3,1,1,23,0,,
tool,org.antlr.v4.misc,OrderedHashMap,put,4,1,2,25,0,,
tool,org.antlr.v4.misc,OrderedHashMap,putAll,5,2,1,31,0,org.antlr.v4.misc.OrderedHashMap,org.antlr.v4.misc.OrderedHashMap
tool,org.antlr.v4.misc,OrderedHashMap,remove,4,1,1,38,0,,
tool,org.antlr.v4.misc,OrderedHashMap,clear,4,1,0,44,0,,
tool,org.antlr.v4.misc,FrequencySet,count,5,2,1,13,0,,
tool,org.antlr.v4.misc,FrequencySet,add,10,2,1,18,0,,
tool,org.antlr.v4.misc,Graph,addEdge,5,1,2,43,0,org.antlr.v4.misc.Graph,org.antlr.v4.misc.Graph
tool,org.antlr.v4.misc,Graph,getNode,7,2,1,50,0,,
tool,org.antlr.v4.misc,Graph,sort,15,5,0,58,0,org.antlr.v4.misc.Graph,org.antlr.v4.misc.Graph
tool,org.antlr.v4.misc,Graph,DFS,10,4,3,86,0,org.antlr.v4.misc.Graph,org.antlr.v4.misc.Graph
tool,org.antlr.v4.misc,EscapeSequenceParsing,parseEscape,75,17,2,78,0,,
tool,org.antlr.v4.misc,EscapeSequenceParsing,invalid,3,1,2,178,0,,
tool,org.antlr.v4.misc,Utils,stripFileExtension,6,3,1,34,0,,
tool,org.antlr.v4.misc,Utils,join,11,3,2,41,0,,
tool,org.antlr.v4.misc,Utils,sortLinesInString,11,2,1,53,0,,
tool,org.antlr.v4.misc,Utils,nodesToStrings,6,3,1,65,0,,
tool,org.antlr.v4.misc,Utils,writeSerializedATNIntegerHistogram,23,4,2,80,0,,
tool,org.antlr.v4.misc,Utils,capitalize,3,1,1,105,0,,
tool,org.antlr.v4.misc,Utils,decapitalize,3,1,1,109,0,,
tool,org.antlr.v4.misc,Utils,select,8,3,2,113,0,,
tool,org.antlr.v4.misc,Utils,find,6,3,2,125,0,,
tool,org.antlr.v4.misc,Utils,indexOf,6,3,2,134,0,,
tool,org.antlr.v4.misc,Utils,lastIndexOf,6,3,2,141,0,,
tool,org.antlr.v4.misc,Utils,setSize,10,3,2,148,0,,
tool,org.antlr.v4.misc,MutableInt,MutableInt,3,1,1,12,0,,
tool,org.antlr.v4.misc,MutableInt,equals,4,2,1,14,0,,
tool,org.antlr.v4.misc,MutableInt,hashCode,3,1,0,20,0,,
tool,org.antlr.v4.misc,MutableInt,compareTo,3,1,1,22,0,org.antlr.v4.misc.MutableInt,org.antlr.v4.misc.MutableInt
tool,org.antlr.v4.misc,MutableInt,intValue,3,1,0,23,0,,
tool,org.antlr.v4.misc,MutableInt,longValue,3,1,0,24,0,,
tool,org.antlr.v4.misc,MutableInt,floatValue,3,1,0,25,0,,
tool,org.antlr.v4.misc,MutableInt,doubleValue,3,1,0,26,0,,
tool,org.antlr.v4.misc,MutableInt,toString,3,1,0,28,0,,
tool,org.antlr.v4.misc,CharSupport,getANTLRCharLiteralForChar,30,7,1,41,0,,
tool,org.antlr.v4.misc,CharSupport,getCharValueFromGrammarCharLiteral,4,2,1,77,0,org.antlr.v4.misc.CharSupport,org.antlr.v4.misc.CharSupport
tool,org.antlr.v4.misc,CharSupport,getStringFromGrammarStringLiteral,44,14,1,86,0,org.antlr.v4.misc.CharSupport,org.antlr.v4.misc.CharSupport
tool,org.antlr.v4.misc,CharSupport,getCharValueFromCharInGrammarLiteral,0,10,1,131,0,org.antlr.v4.misc.CharSupport,org.antlr.v4.misc.CharSupport
tool,org.antlr.v4.misc,CharSupport,parseHexValue,13,2,3,169,0,,
tool,org.antlr.v4.misc,CharSupport,capitalize,3,1,1,183,0,,
tool,org.antlr.v4.misc,CharSupport,getIntervalSetEscapedString,12,3,1,187,0,org.antlr.v4.misc.CharSupport,org.antlr.v4.misc.CharSupport
tool,org.antlr.v4.misc,CharSupport,getRangeEscapedString,3,1,2,200,0,org.antlr.v4.misc.CharSupport,org.antlr.v4.misc.CharSupport
tool,org.antlr.v4.automata,CharactersDataCheckStatus,CharactersDataCheckStatus,4,1,2,7,0,,
tool,org.antlr.v4.automata,ATNPrinter,ATNPrinter,4,1,2,40,0,,
tool,org.antlr.v4.automata,ATNPrinter,asString,51,13,0,45,0,org.antlr.v4.automata.ATNPrinter,org.antlr.v4.automata.ATNPrinter; org.antlr.v4.tool.Grammar
tool,org.antlr.v4.automata,ATNPrinter,getStateString,14,10,1,101,0,org.antlr.v4.tool.Grammar,org.antlr.v4.tool.Grammar
tool,org.antlr.v4.automata,ParserATNFactory,ParserATNFactory,9,2,1,93,0,,
tool,org.antlr.v4.automata,ParserATNFactory,createATN,27,6,0,106,0,,
tool,org.antlr.v4.automata,ParserATNFactory,checkEpsilonClosure,15,4,0,140,0,,
tool,org.antlr.v4.automata,ParserATNFactory,_createATN,17,2,1,156,0,,
tool,org.antlr.v4.automata,ParserATNFactory,setCurrentRuleName,3,1,1,176,0,,
tool,org.antlr.v4.automata,ParserATNFactory,setCurrentOuterAlt,3,1,1,181,0,,
tool,org.antlr.v4.automata,ParserATNFactory,rule,10,1,3,188,0,,
tool,org.antlr.v4.automata,ParserATNFactory,tokenRef,8,1,1,202,0,,
tool,org.antlr.v4.automata,ParserATNFactory,set,17,3,3,214,0,,
