Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
tool,org.antlr.v4.misc,OrderedHashMap,1,0,6,6,32,7,0,0,0.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/OrderedHashMap.java,14
tool,org.antlr.v4.misc,FrequencySet,0,0,2,2,20,4,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/FrequencySet.java,11
tool,org.antlr.v4.misc,Graph,3,2,4,4,63,12,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Graph.java,17
tool,org.antlr.v4.misc,Graph.Node,2,2,0,0,14,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Graph.java,23
tool,org.antlr.v4.misc,EscapeSequenceParsing,5,5,2,1,117,18,0,0,1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/EscapeSequenceParsing.java,14
tool,org.antlr.v4.misc,EscapeSequenceParsing.Result,5,5,0,0,31,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/EscapeSequenceParsing.java,25
tool,org.antlr.v4.misc,EscapeSequenceParsing.Type,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/EscapeSequenceParsing.java,26
tool,org.antlr.v4.misc,Utils,1,1,12,12,119,32,0,0,1.0,8,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Utils.java,18
tool,org.antlr.v4.misc,Utils.Filter,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Utils.java,22
tool,org.antlr.v4.misc,Utils.Func0,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Utils.java,26
tool,org.antlr.v4.misc,Utils.Func1,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/Utils.java,30
tool,org.antlr.v4.misc,MutableInt,1,1,9,9,31,10,0,0,0.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/MutableInt.java,9
tool,org.antlr.v4.misc,CharSupport,2,2,8,8,0,40,0,0,0.375,7,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/misc/CharSupport.java,15
tool,org.antlr.v4.automata,CharactersDataCheckStatus,2,2,1,1,8,1,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/CharactersDataCheckStatus.java,3
tool,org.antlr.v4.automata,ATNPrinter,4,0,3,2,78,24,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ATNPrinter.java,33
tool,org.antlr.v4.automata,ParserATNFactory,6,4,43,36,523,92,0,0,0.46511627906976744,0,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ParserATNFactory.java,70
tool,org.antlr.v4.automata,LexerATNFactory,11,8,32,16,617,126,0,0,0.71875,1,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/LexerATNFactory.java,38
tool,org.antlr.v4.automata,LexerATNFactory.CharSetParseState,6,6,0,0,31,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/LexerATNFactory.java,360
tool,org.antlr.v4.automata,LexerATNFactory.Mode,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/LexerATNFactory.java,361
tool,org.antlr.v4.automata,ATNOptimizer,0,0,4,1,109,27,0,0,-1.0,2,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ATNOptimizer.java,30
tool,org.antlr.v4.automata,ATNFactory,2,2,26,0,73,26,0,0,-1.0,0,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ATNFactory.java,19
tool,org.antlr.v4.automata,ATNFactory.Handle,2,2,0,0,14,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ATNFactory.java,20
tool,org.antlr.v4.automata,ATNVisitor,0,0,3,3,20,5,1,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/ATNVisitor.java,15
tool,org.antlr.v4.automata,TailEpsilonRemover,1,0,2,2,32,8,0,1,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/TailEpsilonRemover.java,18
tool,org.antlr.v4.automata,RangeBorderCharactersData,5,5,3,3,38,7,0,0,0.6666666666666666,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/automata/RangeBorderCharactersData.java,7
tool,org.antlr.v4.analysis,LeftRecursionDetector,4,2,4,3,80,17,0,0,0.0,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java,24
tool,org.antlr.v4.analysis,LeftRecursiveRuleAltInfo,8,8,2,2,21,2,0,0,0.0,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAltInfo.java,11
tool,org.antlr.v4.analysis,LeftRecursiveRuleAnalyzer,13,13,16,16,289,54,0,0,0.125,2,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java,37
tool,org.antlr.v4.analysis,LeftRecursiveRuleAnalyzer.ASSOC,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java,41
tool,org.antlr.v4.analysis,LeftRecursiveRuleTransformer,6,6,5,5,140,19,0,0,0.4,4,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/LeftRecursiveRuleTransformer.java,43
tool,org.antlr.v4.analysis,AnalysisPipeline,1,1,5,3,65,16,0,0,0.0,1,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/analysis/AnalysisPipeline.java,22
tool,org.antlr.v4.unicode,UnicodeDataTemplateController,0,0,18,1,331,35,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/unicode/UnicodeDataTemplateController.java,22
tool,org.antlr.v4.parse,ActionSplitterListener,0,0,6,0,10,6,1,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/ActionSplitterListener.java,11
tool,org.antlr.v4.parse,GrammarToken,2,2,7,7,48,12,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/GrammarToken.java,13
tool,org.antlr.v4.parse,GrammarASTAdaptor,1,0,6,6,32,9,0,0,0.6666666666666666,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/GrammarASTAdaptor.java,17
tool,org.antlr.v4.parse,ScopeParser,0,0,7,7,0,56,0,0,-1.0,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/ScopeParser.java,21
tool,org.antlr.v4.parse,TokenVocabParser,1,0,3,3,103,12,0,0,0.0,0,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/TokenVocabParser.java,27
tool,org.antlr.v4.parse,ToolANTLRParser,1,1,4,4,35,7,0,0,0.5,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/ToolANTLRParser.java,16
tool,org.antlr.v4.parse,ToolANTLRLexer,1,1,3,3,14,3,0,0,0.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/ToolANTLRLexer.java,15
tool,org.antlr.v4.parse,v4ParserException,1,1,2,2,14,2,0,0,1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/v4ParserException.java,12
tool,org.antlr.v4.parse,ResyncToEndOfRuleBlock,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/parse/ResyncToEndOfRuleBlock.java,9
tool,org.antlr.v4.semantics,RuleCollector,6,5,8,7,93,21,0,0,0.375,0,13,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/RuleCollector.java,25
tool,org.antlr.v4.semantics,BlankActionSplitterListener,0,0,11,11,24,11,0,1,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/BlankActionSplitterListener.java,12
tool,org.antlr.v4.semantics,BasicSemanticChecks,8,5,41,20,0,102,0,0,0.34146341463414637,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/BasicSemanticChecks.java,35
tool,org.antlr.v4.semantics,SymbolCollector,11,10,22,21,115,26,0,0,0.13636363636363635,0,11,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/SymbolCollector.java,27
tool,org.antlr.v4.semantics,UseDefAnalyzer,0,0,11,11,70,17,0,0,-1.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/UseDefAnalyzer.java,28
tool,org.antlr.v4.semantics,ActionSniffer,6,6,8,8,56,10,0,0,0.625,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/ActionSniffer.java,22
tool,org.antlr.v4.semantics,AttributeChecks,6,6,15,15,167,48,0,0,0.4666666666666667,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/AttributeChecks.java,25
tool,org.antlr.v4.semantics,SymbolChecks,7,1,18,10,330,83,0,0,0.2777777777777778,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/SymbolChecks.java,38
tool,org.antlr.v4.semantics,SemanticPipeline,1,1,7,2,163,45,0,0,0.2857142857142857,0,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/semantics/SemanticPipeline.java,24
tool,org.antlr.v4.codegen,LexerFactory,0,0,1,1,7,1,0,3,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/LexerFactory.java,9
tool,org.antlr.v4.codegen,OutputModelFactory,0,0,35,0,37,35,1,0,-1.0,71,19,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/OutputModelFactory.java,31
tool,org.antlr.v4.codegen,ParserFactory,0,0,25,25,233,59,0,3,-1.0,1,30,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/ParserFactory.java,56
tool,org.antlr.v4.codegen,OutputModelWalker,2,0,2,2,83,18,0,0,0.0,1,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/OutputModelWalker.java,26
tool,org.antlr.v4.codegen,DefaultOutputModelFactory,3,3,15,14,63,16,2,2,0.26666666666666666,1,11,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/DefaultOutputModelFactory.java,27
tool,org.antlr.v4.codegen,BlankOutputModelFactory,0,0,24,24,74,24,1,1,-1.0,0,13,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/BlankOutputModelFactory.java,27
tool,org.antlr.v4.codegen,OutputModelController,10,10,45,45,365,86,0,0,0.13333333333333333,3,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/OutputModelController.java,52
tool,org.antlr.v4.codegen,UnicodeEscapes,0,0,2,2,0,14,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/UnicodeEscapes.java,9
tool,org.antlr.v4.codegen,CodeGenerator,8,7,39,35,186,45,0,0,0.0,26,9,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/CodeGenerator.java,25
tool,org.antlr.v4.codegen,Target,3,0,56,42,0,107,11,0,0.25,7,10,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/Target.java,28
tool,org.antlr.v4.codegen,CodeGenPipeline,2,0,3,2,98,28,0,0,0.0,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/CodeGenPipeline.java,14
tool,org.antlr.v4.codegen,ActionTranslator,10,3,14,12,0,36,0,0,0.0,3,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/ActionTranslator.java,58
tool,org.antlr.v4.codegen,CodeGeneratorExtension,1,1,20,20,66,20,0,0,1.0,0,10,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/CodeGeneratorExtension.java,23
tool,org.antlr.v4.codegen.target,CSharpTarget,2,0,6,3,37,6,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/CSharpTarget.java,20
tool,org.antlr.v4.codegen.target,GoTarget,2,0,9,6,0,14,0,1,0.8888888888888888,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/GoTarget.java,22
tool,org.antlr.v4.codegen.target,SwiftTarget,2,0,7,3,36,7,0,1,1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/SwiftTarget.java,20
tool,org.antlr.v4.codegen.target,CppTarget,2,0,10,8,69,11,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/CppTarget.java,14
tool,org.antlr.v4.codegen.target,JavaTarget,2,0,4,4,19,4,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/JavaTarget.java,16
tool,org.antlr.v4.codegen.target,JavaScriptTarget,1,0,7,6,27,7,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/JavaScriptTarget.java,16
tool,org.antlr.v4.codegen.target,DartTarget,2,0,6,5,27,6,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/DartTarget.java,14
tool,org.antlr.v4.codegen.target,Python2Target,2,0,6,5,36,6,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/Python2Target.java,14
tool,org.antlr.v4.codegen.target,TypeScriptTarget,1,0,7,6,24,7,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/TypeScriptTarget.java,15
tool,org.antlr.v4.codegen.target,Python3Target,2,0,6,5,36,6,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/Python3Target.java,14
tool,org.antlr.v4.codegen.target,PHPTarget,2,0,7,5,40,7,0,1,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/target/PHPTarget.java,14
tool,org.antlr.v4.codegen.model,OutputFile,5,5,3,3,27,5,4,1,0.6666666666666666,0,4,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/OutputFile.java,18
tool,org.antlr.v4.codegen.model,ThrowNoViableAlt,0,0,1,1,7,1,0,3,-1.0,3,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/ThrowNoViableAlt.java,13
tool,org.antlr.v4.codegen.model,OptionalBlock,0,0,1,1,7,1,0,5,-1.0,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/OptionalBlock.java,14
tool,org.antlr.v4.codegen.model,CaptureNextToken,1,1,1,1,7,1,0,2,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/CaptureNextToken.java,11
tool,org.antlr.v4.codegen.model,ParserFile,8,8,1,1,25,2,0,2,0.0,5,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/ParserFile.java,16
tool,org.antlr.v4.codegen.model,Parser,2,2,1,1,8,1,0,2,0.0,5,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/Parser.java,14
tool,org.antlr.v4.codegen.model,AltBlock,0,0,1,1,6,1,1,4,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/AltBlock.java,15
tool,org.antlr.v4.codegen.model,OutputModelObject,2,2,3,3,15,3,8,0,0.6666666666666666,6,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/OutputModelObject.java,12
tool,org.antlr.v4.codegen.model,VisitorDispatchMethod,0,0,1,1,5,1,0,2,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/VisitorDispatchMethod.java,10
tool,org.antlr.v4.codegen.model,RuleSempredFunction,0,0,1,1,5,1,0,2,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/RuleSempredFunction.java,12
tool,org.antlr.v4.codegen.model,RuleFunction,20,20,10,7,233,49,1,0,0.6,8,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/RuleFunction.java,51
tool,org.antlr.v4.codegen.model,LL1Loop,4,4,3,3,26,5,2,4,0.6666666666666666,0,6,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/LL1Loop.java,16
tool,org.antlr.v4.codegen.model,ExceptionClause,2,2,1,1,9,1,0,2,0.0,0,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/ExceptionClause.java,12
tool,org.antlr.v4.codegen.model,RuleElement,1,1,1,1,10,2,2,2,0.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/antlr4/tool/src/org/antlr/v4/codegen/model/RuleElement.java,12
