Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,com.google.gson,JsonArray,JsonArray,3,1,0,41,0,,
java,com.google.gson,JsonArray,JsonArray,3,1,1,49,0,,
java,com.google.gson,JsonArray,deepCopy,10,3,0,62,0,com.google.gson.JsonElement,com.google.gson.JsonElement
java,com.google.gson,JsonArray,add,3,1,1,79,0,,
java,com.google.gson,JsonArray,add,3,1,1,89,0,,
java,com.google.gson,JsonArray,add,3,1,1,99,0,,
java,com.google.gson,JsonArray,add,3,1,1,109,0,,
java,com.google.gson,JsonArray,add,6,2,1,119,0,,
java,com.google.gson,JsonArray,addAll,3,1,1,131,0,,
java,com.google.gson,JsonArray,set,3,1,2,140,0,,
java,com.google.gson,JsonArray,remove,3,1,1,152,0,,
java,com.google.gson,JsonArray,remove,3,1,1,164,0,,
java,com.google.gson,JsonArray,contains,3,1,1,178,0,,
java,com.google.gson,JsonArray,size,3,1,0,189,0,,
java,com.google.gson,JsonArray,isEmpty,3,1,0,198,0,,
java,com.google.gson,JsonArray,iterator,3,1,0,208,0,,
java,com.google.gson,JsonArray,get,3,1,1,219,0,,
java,com.google.gson,JsonArray,getAsSingleElement,7,2,0,231,0,,
java,com.google.gson,JsonArray,getAsNumber,3,1,0,239,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsString,3,1,0,252,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsDouble,3,1,0,265,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsBigDecimal,3,1,0,278,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsBigInteger,3,1,0,292,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsFloat,3,1,0,306,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsLong,3,1,0,319,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsInt,3,1,0,332,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsByte,3,1,0,345,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsCharacter,3,1,0,358,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
java,com.google.gson,JsonArray,getAsShort,3,1,0,374,0,com.google.gson.JsonElement,com.google.gson.JsonElement; com.google.gson.JsonArray
