Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jenkins,jenkins.websocket,WebSocketEcho,getUrlName,3,1,0,41,0,,
jenkins,jenkins.websocket,WebSocketEcho,doIndex,20,3,0,46,0,,
jenkins,jenkins.websocket,WebSocketEcho,text,3,1,1,49,0,,
jenkins,jenkins.websocket,WebSocketEcho,binary,11,3,3,54,0,,
jenkins,jenkins.websocket,WebSocketSession,WebSocketSession,2,1,0,65,0,,
jenkins,jenkins.websocket,WebSocketSession,startPings,14,2,0,67,0,,
jenkins,jenkins.websocket,WebSocketSession,stopPings,5,2,0,80,0,,
jenkins,jenkins.websocket,WebSocketSession,opened,2,1,0,87,0,,
jenkins,jenkins.websocket,WebSocketSession,closed,2,1,2,90,0,,
jenkins,jenkins.websocket,WebSocketSession,error,3,1,1,93,0,,
jenkins,jenkins.websocket,WebSocketSession,binary,3,1,3,97,0,,
jenkins,jenkins.websocket,WebSocketSession,text,3,1,1,101,0,,
jenkins,jenkins.websocket,WebSocketSession,sendBinary,3,1,1,105,0,,
jenkins,jenkins.websocket,WebSocketSession,sendBinary,3,1,2,109,0,,
jenkins,jenkins.websocket,WebSocketSession,sendText,3,1,1,113,0,,
jenkins,jenkins.websocket,WebSocketSession,close,3,1,0,117,0,,
jenkins,jenkins.websocket,WebSockets,findProvider,12,2,0,50,0,,
jenkins,jenkins.websocket,WebSockets,upgrade,54,3,1,64,0,,
jenkins,jenkins.websocket,WebSockets,onWebSocketConnect,5,1,1,73,0,,
jenkins,jenkins.websocket,WebSockets,getProviderSession,3,1,0,80,0,,
jenkins,jenkins.websocket,WebSockets,onWebSocketClose,4,1,2,85,0,,
jenkins,jenkins.websocket,WebSockets,onWebSocketError,8,2,1,91,0,,
jenkins,jenkins.websocket,WebSockets,onWebSocketBinary,8,1,3,100,0,,
jenkins,jenkins.websocket,WebSockets,onWebSocketText,8,1,1,109,0,,
jenkins,jenkins.websocket,WebSockets,isSupported,3,1,0,126,0,,
jenkins,jenkins.websocket,WebSockets,WebSockets,2,1,0,130,0,,
jenkins,jenkins,ExtensionRefreshException,ExtensionRefreshException,2,1,0,35,0,,
