Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jenkins,jenkins.websocket,WebSocketEcho,0,0,4,2,25,8,0,0,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/websocket/WebSocketEcho.java,37
jenkins,jenkins.websocket,WebSocketSession,4,0,12,0,60,14,0,0,0.4166666666666667,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/websocket/WebSocketSession.java,39
jenkins,jenkins.websocket,WebSockets,3,0,10,8,79,14,0,0,0.6,2,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/websocket/WebSockets.java,39
jenkins,jenkins,ExtensionRefreshException,0,0,4,4,17,4,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ExtensionRefreshException.java,29
jenkins,jenkins,ExtensionFilter,0,0,3,3,27,6,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ExtensionFilter.java,36
jenkins,jenkins,SlaveToMasterFileCallable,2,1,3,1,24,4,0,0,0.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/SlaveToMasterFileCallable.java,11
jenkins,jenkins,RestartRequiredException,1,1,2,2,14,2,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/RestartRequiredException.java,29
jenkins,jenkins,InitReactorRunner,3,0,8,6,67,11,0,0,0.0,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/InitReactorRunner.java,33
jenkins,jenkins,DailyCheck,1,0,4,3,42,10,0,0,1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/DailyCheck.java,43
jenkins,jenkins,MissingDependencyException,2,0,3,3,20,3,0,0,0.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/MissingDependencyException.java,32
jenkins,jenkins,YesNoMaybe,0,0,0,0,0,0,0,0,-1.0,3,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/YesNoMaybe.java,29
jenkins,jenkins,ProxyInjector,0,0,21,20,67,21,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ProxyInjector.java,43
jenkins,jenkins,ClassLoaderReflectionToolkit,5,0,5,3,171,15,0,0,0.8,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,16
jenkins,jenkins,ClassLoaderReflectionToolkit.GetClassLoadingLock,1,0,0,0,14,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,73
jenkins,jenkins,ClassLoaderReflectionToolkit.FindLoadedClass,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,88
jenkins,jenkins,ClassLoaderReflectionToolkit.FindClass,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,101
jenkins,jenkins,ClassLoaderReflectionToolkit.FindResource,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,181
jenkins,jenkins,ClassLoaderReflectionToolkit.FindResources,1,0,0,0,12,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ClassLoaderReflectionToolkit.java,220
jenkins,jenkins,JenkinsHttpSessionListener,1,0,2,2,27,4,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/JenkinsHttpSessionListener.java,34
jenkins,jenkins,I18n,0,0,4,4,56,11,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/I18n.java,37
jenkins,jenkins,UserAgentURLConnectionDecorator,1,1,2,2,16,3,0,0,0.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/UserAgentURLConnectionDecorator.java,39
jenkins,jenkins,ExtensionComponentSet,1,1,9,9,65,15,0,0,0.4444444444444444,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/jenkins/core/src/main/java/jenkins/ExtensionComponentSet.java,38
