Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
main,com.airbnb.lottie,LottieTask,5,1,10,5,126,19,0,0,0.2,2,3,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieTask.java,21
main,com.airbnb.lottie,LottieTask.LottieFutureTask,0,0,0,0,16,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieTask.java,166
main,com.airbnb.lottie,RenderMode,0,0,0,0,0,0,0,0,-1.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/RenderMode.java,5
main,com.airbnb.lottie,Lottie,0,0,2,1,19,2,0,0,-1.0,0,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/Lottie.java,5
main,com.airbnb.lottie,LottieOnCompositionLoadedListener,0,0,1,0,3,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieOnCompositionLoadedListener.java,3
main,com.airbnb.lottie,LottieComposition,17,0,27,27,247,30,0,0,0.18518518518518517,58,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieComposition.java,32
main,com.airbnb.lottie,LottieComposition.Factory,2,0,0,0,104,0,0,0,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieComposition.java,231
main,com.airbnb.lottie,LottieComposition.ListenerAdapter,2,0,0,0,16,0,0,1,-1.0,0,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieComposition.java,364
main,com.airbnb.lottie,LottieLogger,0,0,5,0,10,5,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieLogger.java,3
main,com.airbnb.lottie,ImageAssetDelegate,0,0,1,0,7,1,0,0,-1.0,3,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/ImageAssetDelegate.java,7
main,com.airbnb.lottie,LottieTaskIdleListener,0,0,1,0,6,1,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieTaskIdleListener.java,3
main,com.airbnb.lottie,LottieListener,0,0,1,0,6,1,1,0,-1.0,2,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieListener.java,3
main,com.airbnb.lottie,LottieAnimationView,24,1,104,93,792,146,0,0,0.019230769230769232,1,19,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java,44
main,com.airbnb.lottie,LottieAnimationView.SavedState,8,1,0,0,39,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java,1166
main,com.airbnb.lottie,LottieAnimationView.UserActionTaken,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieAnimationView.java,1214
main,com.airbnb.lottie,Cancellable,0,0,1,0,3,1,1,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/Cancellable.java,3
main,com.airbnb.lottie,OnCompositionLoadedListener,0,0,1,0,10,1,0,0,-1.0,3,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/OnCompositionLoadedListener.java,5
main,com.airbnb.lottie,SimpleColorFilter,0,0,1,1,8,1,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/SimpleColorFilter.java,8
main,com.airbnb.lottie,PerformanceTracker,4,0,8,7,72,18,0,0,0.25,3,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/PerformanceTracker.java,18
main,com.airbnb.lottie,PerformanceTracker.FrameListener,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/lottie-android/lottie/src/main/java/com/airbnb/lottie/PerformanceTracker.java,20
