Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,org.mockito.invocation,DescribedInvocation,toString,0,1,0,12,0,,
java,org.mockito.invocation,DescribedInvocation,getLocation,0,1,0,20,0,,
java,org.mockito.invocation,Invocation,isVerified,0,1,0,28,0,,
java,org.mockito.invocation,Invocation,getSequenceNumber,0,1,0,34,0,,
java,org.mockito.invocation,Invocation,getLocation,0,1,0,40,0,,
java,org.mockito.invocation,Invocation,getArgumentsAsMatchers,0,1,0,44,0,,
java,org.mockito.invocation,Invocation,getRawReturnType,0,1,0,54,0,,
java,org.mockito.invocation,Invocation,markVerified,0,1,0,63,0,,
java,org.mockito.invocation,Invocation,stubInfo,0,1,0,69,0,,
java,org.mockito.invocation,Invocation,markStubbed,0,1,1,75,0,,
java,org.mockito.invocation,Invocation,isIgnoredForVerification,0,1,0,82,0,,
java,org.mockito.invocation,Invocation,ignoreForVerification,0,1,0,90,0,,
java,org.mockito.invocation,MockHandler,handle,0,1,1,26,0,,
java,org.mockito.invocation,MockHandler,getMockSettings,0,1,0,39,0,,
java,org.mockito.invocation,MockHandler,getInvocationContainer,0,1,0,48,0,,
java,org.mockito.invocation,InvocationFactory,createInvocation,0,1,5,36,0,,
java,org.mockito.invocation,InvocationOnMock,getMock,0,1,0,21,0,,
java,org.mockito.invocation,InvocationOnMock,getMethod,0,1,0,28,0,,
java,org.mockito.invocation,InvocationOnMock,getRawArguments,0,1,0,35,0,,
java,org.mockito.invocation,InvocationOnMock,getArguments,0,1,0,44,0,,
java,org.mockito.invocation,InvocationOnMock,getArgument,0,1,1,53,0,,
java,org.mockito.invocation,InvocationOnMock,getArgument,0,1,2,68,0,,
java,org.mockito.invocation,InvocationOnMock,callRealMethod,0,1,0,89,0,,
java,org.mockito.invocation,MatchableInvocation,getInvocation,0,1,0,25,0,,
java,org.mockito.invocation,MatchableInvocation,getMatchers,0,1,0,32,0,,
java,org.mockito.invocation,MatchableInvocation,matches,0,1,1,42,0,,
java,org.mockito.invocation,MatchableInvocation,hasSimilarMethod,0,1,1,49,0,,
java,org.mockito.invocation,MatchableInvocation,hasSameMethod,0,1,1,57,0,,
java,org.mockito.invocation,MatchableInvocation,captureArgumentsFrom,0,1,1,64,0,,
java,org.mockito.invocation,StubInfo,stubbedAt,0,1,0,12,0,,
java,org.mockito.invocation,Location,toString,0,1,0,15,0,,
java,org.mockito.invocation,Location,getSourceFile,0,1,0,23,0,,
java,org.mockito.hamcrest,MockitoHamcrest,argThat,4,1,1,68,0,org.mockito.internal.hamcrest.MatcherGenericTypeExtractor,org.mockito.internal.hamcrest.MatcherGenericTypeExtractor
java,org.mockito.hamcrest,MockitoHamcrest,argThat,4,1,2,83,0,org.mockito.internal.hamcrest.MatcherGenericTypeExtractor,org.mockito.internal.hamcrest.MatcherGenericTypeExtractor
java,org.mockito.hamcrest,MockitoHamcrest,charThat,4,1,1,103,0,,
java,org.mockito.hamcrest,MockitoHamcrest,booleanThat,4,1,1,117,0,,
java,org.mockito.hamcrest,MockitoHamcrest,byteThat,4,1,1,131,0,,
java,org.mockito.hamcrest,MockitoHamcrest,shortThat,4,1,1,145,0,,
java,org.mockito.hamcrest,MockitoHamcrest,intThat,4,1,1,159,0,,
java,org.mockito.hamcrest,MockitoHamcrest,longThat,4,1,1,173,0,,
java,org.mockito.hamcrest,MockitoHamcrest,floatThat,4,1,1,187,0,,
java,org.mockito.hamcrest,MockitoHamcrest,doubleThat,4,1,1,201,0,,
java,org.mockito.hamcrest,MockitoHamcrest,reportMatcher,3,1,1,215,0,org.mockito.hamcrest.MockitoHamcrest,org.mockito.hamcrest.MockitoHamcrest
java,org.mockito.hamcrest,MockitoHamcrest,reportMatcher,3,1,2,219,0,org.mockito.hamcrest.MockitoHamcrest,org.mockito.hamcrest.MockitoHamcrest
java,org.mockito.hamcrest,MockitoHamcrest,reportMatcher,3,1,1,223,0,org.mockito.internal.progress.ArgumentMatcherStorage,org.mockito.internal.progress.ArgumentMatcherStorage; org.mockito.internal.progress.MockingProgress; org.mockito.internal.progress.ThreadSafeMockingProgress
java,org.mockito.hamcrest,MockitoHamcrest,MockitoHamcrest,2,1,0,227,0,,
java,org.mockito,MockSettings,extraInterfaces,0,1,1,51,0,,
java,org.mockito,MockSettings,name,0,1,1,72,0,,
java,org.mockito,MockSettings,spiedInstance,0,1,1,92,0,,
java,org.mockito,MockSettings,defaultAnswer,0,1,1,134,0,,
java,org.mockito,MockSettings,serializable,0,1,0,155,0,,
java,org.mockito,MockSettings,serializable,0,1,1,173,0,,
java,org.mockito,MockSettings,verboseLogging,0,1,0,192,0,,
java,org.mockito,MockSettings,stubbingLookupListeners,0,1,1,209,0,,
java,org.mockito,MockSettings,invocationListeners,0,1,1,227,0,,
java,org.mockito,MockSettings,verificationStartedListeners,0,1,1,245,0,,
java,org.mockito,MockSettings,stubOnly,0,1,0,261,0,,
java,org.mockito,MockSettings,useConstructor,0,1,1,275,0,,
java,org.mockito,MockSettings,outerInstance,0,1,1,301,0,,
java,org.mockito,MockSettings,withoutAnnotations,0,1,0,315,0,,
java,org.mockito,MockSettings,build,0,1,1,325,0,,
java,org.mockito,MockSettings,buildStatic,0,1,1,339,0,,
java,org.mockito,MockSettings,lenient,0,1,0,353,0,,
java,org.mockito,MockSettings,strictness,0,1,1,369,0,,
java,org.mockito,MockSettings,mockMaker,0,1,1,386,0,,
java,org.mockito,ScopedMock,isClosed,0,1,0,13,0,,
java,org.mockito,ScopedMock,close,0,1,0,20,0,,
java,org.mockito,ScopedMock,closeOnDemand,0,1,0,26,0,,
java,org.mockito,ArgumentMatcher,matches,0,1,1,116,0,,
java,org.mockito,ArgumentMatcher,type,3,1,0,130,0,,
java,org.mockito,MockitoSession,setStrictness,0,1,1,93,0,,
java,org.mockito,MockitoSession,finishMocking,0,1,0,106,0,,
java,org.mockito,MockitoSession,finishMocking,0,1,1,127,0,,
java,org.mockito,InOrder,verify,0,1,1,55,0,,
java,org.mockito,InOrder,verify,0,1,2,76,0,,
java,org.mockito,InOrder,verify,3,1,2,95,0,org.mockito.Mockito,org.mockito.Mockito
java,org.mockito,InOrder,verify,0,1,3,104,0,,
java,org.mockito,InOrder,verifyNoMoreInteractions,0,1,0,131,0,,
java,org.mockito,MockitoAnnotations,openMocks,7,2,1,65,0,org.mockito.internal.configuration.GlobalConfiguration,org.mockito.internal.configuration.GlobalConfiguration; org.mockito.plugins.AnnotationEngine
java,org.mockito,MockitoAnnotations,initMocks,8,1,1,84,0,org.mockito.MockitoAnnotations,org.mockito.MockitoAnnotations
java,org.mockito,MockitoAnnotations,MockitoAnnotations,2,1,0,110,0,,
java,org.mockito,ArgumentCaptor,ArgumentCaptor,4,1,1,69,0,,
java,org.mockito,ArgumentCaptor,capture,4,1,0,74,0,org.mockito.ArgumentMatchers,org.mockito.ArgumentMatchers
