Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,subscribe,0,1,1,45,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,parallelism,0,1,0,64,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,validate,12,3,1,71,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,from,3,1,1,93,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,from,3,1,2,117,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,from,6,1,3,142,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,map,4,1,1,176,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,map,5,1,2,201,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,map,5,1,2,232,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,filter,4,1,1,264,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,filter,5,1,2,288,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,filter,5,1,2,318,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,runOn,3,1,1,349,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,runOn,5,1,2,386,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,reduce,4,1,1,428,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,reduce,5,1,2,453,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sequential,3,1,0,482,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sequential,4,1,1,509,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sequentialDelayError,3,1,0,537,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sequentialDelayError,4,1,1,566,0,,
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sorted,3,1,1,596,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,sorted,8,1,2,621,0,io.reactivex.rxjava3.parallel.ParallelFlowable,io.reactivex.rxjava3.parallel.ParallelFlowable
