Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
rxjava3,io.reactivex.rxjava3.parallel,ParallelFailureHandling,0,0,0,0,20,0,0,0,-1.0,1,0,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/parallel/ParallelFailureHandling.java,18
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowable,0,0,54,53,661,57,0,0,-1.0,19,5,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/parallel/ParallelFlowable.java,32
rxjava3,io.reactivex.rxjava3.parallel,ParallelTransformer,0,0,1,0,14,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/parallel/ParallelTransformer.java,18
rxjava3,io.reactivex.rxjava3.parallel,ParallelFlowableConverter,0,0,1,0,14,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/parallel/ParallelFlowableConverter.java,18
rxjava3,io.reactivex.rxjava3.core,Single,0,0,188,185,2383,197,0,1,-1.0,6,17,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/Single.java,41
rxjava3,io.reactivex.rxjava3.core,SingleOnSubscribe,0,0,1,0,12,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/SingleOnSubscribe.java,18
rxjava3,io.reactivex.rxjava3.core,Flowable,1,0,534,529,0,592,0,0,0.601123595505618,25,18,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/Flowable.java,43
rxjava3,io.reactivex.rxjava3.core,CompletableOperator,0,0,1,0,12,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/CompletableOperator.java,18
rxjava3,io.reactivex.rxjava3.core,CompletableConverter,0,0,1,0,13,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/CompletableConverter.java,18
rxjava3,io.reactivex.rxjava3.core,CompletableOnSubscribe,0,0,1,0,11,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/CompletableOnSubscribe.java,18
rxjava3,io.reactivex.rxjava3.core,MaybeObserver,0,0,4,0,27,4,0,0,-1.0,4,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/MaybeObserver.java,19
rxjava3,io.reactivex.rxjava3.core,ObservableOnSubscribe,0,0,1,0,12,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/ObservableOnSubscribe.java,18
rxjava3,io.reactivex.rxjava3.core,CompletableEmitter,0,0,6,0,36,6,0,0,-1.0,1,2,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/CompletableEmitter.java,20
rxjava3,io.reactivex.rxjava3.core,FlowableEmitter,0,0,6,0,38,6,0,1,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/FlowableEmitter.java,20
rxjava3,io.reactivex.rxjava3.core,SingleConverter,0,0,1,0,14,1,0,0,-1.0,1,1,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/SingleConverter.java,18
rxjava3,io.reactivex.rxjava3.core,Observable,0,0,501,497,0,561,0,1,-1.0,6,15,/Users/marnickvanderarend/IdeaProjects/LAMP-Framework/input/RxJava/src/main/java/io/reactivex/rxjava3/core/Observable.java,41
