Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
java,org.springframework.asm,CurrentFrame,CurrentFrame,3,1,1,39,0,,
java,org.springframework.asm,CurrentFrame,execute,6,1,4,43,0,org.springframework.asm.Frame,org.springframework.asm.Frame
java,org.springframework.asm,RecordComponentVisitor,RecordComponentVisitor,3,1,1,50,0,,
java,org.springframework.asm,RecordComponentVisitor,RecordComponentVisitor,7,2,2,60,0,,
java,org.springframework.asm,RecordComponentVisitor,getDelegate,3,1,0,83,0,,
java,org.springframework.asm,RecordComponentVisitor,visitAnnotation,6,2,2,93,0,org.springframework.asm.RecordComponentVisitor,org.springframework.asm.RecordComponentVisitor
java,org.springframework.asm,RecordComponentVisitor,visitTypeAnnotation,6,2,4,108,0,org.springframework.asm.RecordComponentVisitor,org.springframework.asm.RecordComponentVisitor
java,org.springframework.asm,RecordComponentVisitor,visitAttribute,5,2,1,131,0,org.springframework.asm.RecordComponentVisitor,org.springframework.asm.RecordComponentVisitor
java,org.springframework.asm,RecordComponentVisitor,visitEnd,5,2,0,142,0,org.springframework.asm.RecordComponentVisitor,org.springframework.asm.RecordComponentVisitor
java,org.springframework.asm,MethodWriter,MethodWriter,32,5,7,577,0,org.springframework.asm.SymbolTable,org.springframework.asm.SymbolTable; org.springframework.asm.Type; org.springframework.asm.MethodWriter
java,org.springframework.asm,MethodWriter,hasFrames,3,1,0,629,0,,
java,org.springframework.asm,MethodWriter,hasAsmInstructions,3,1,0,633,0,,
java,org.springframework.asm,MethodWriter,visitParameter,7,2,2,641,0,org.springframework.asm.ByteVector,org.springframework.asm.ByteVector; org.springframework.asm.SymbolTable
java,org.springframework.asm,MethodWriter,visitAnnotationDefault,4,1,0,650,0,,
java,org.springframework.asm,MethodWriter,visitAnnotation,8,2,2,656,0,org.springframework.asm.AnnotationWriter,org.springframework.asm.AnnotationWriter
java,org.springframework.asm,MethodWriter,visitTypeAnnotation,8,2,4,667,0,org.springframework.asm.AnnotationWriter,org.springframework.asm.AnnotationWriter
java,org.springframework.asm,MethodWriter,visitAnnotableParameterCount,8,2,2,681,0,,
java,org.springframework.asm,MethodWriter,visitParameterAnnotation,14,4,3,690,0,org.springframework.asm.Type,org.springframework.asm.Type; org.springframework.asm.AnnotationWriter
java,org.springframework.asm,MethodWriter,visitAttribute,10,2,1,714,0,org.springframework.asm.Attribute,org.springframework.asm.Attribute
java,org.springframework.asm,MethodWriter,visitCode,2,1,0,726,0,,
