"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.antlr.v4.tool.GrammarTransformPipeline",337,80,174,0,0,305,80,1,9,0
"org.antlr.v4.codegen.model.chunk.TokenRef",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.decl.ContextTokenListGetterDecl",11,3,0,4,1,1,2,1,3,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_channel",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.decl.TokenListDecl",5,1,0,4,0,0,0,1,1,0
"org.antlr.v4.codegen.model.LeftRecursiveRuleFunction",28,7,14,2,0,22,0,1,1,0
"org.antlr.v4.codegen.LexerFactory",3,1,0,2,0,0,0,1,1,0
"org.antlr.v4.tool.ast.BlockAST",15,7,0,3,0,4,3,1,7,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode",12,5,0,2,0,6,4,1,5,0
"org.antlr.v4.tool.ast.GrammarAST",165,58,48,1,8,83,44,1,24,0
"org.antlr.v4.codegen.model.MatchNotSet",6,1,0,5,0,0,0,1,1,0
"org.antlr.v4.tool.ErrorManager",224,55,33,0,0,106,53,2,26,0
"org.antlr.v4.tool.Rule",230,75,62,0,1,150,43,2,28,0
"org.antlr.v4.tool.ast.PredAST",10,6,0,4,0,2,3,1,6,0
"org.antlr.v4.codegen.model.decl.ContextRuleGetterDecl",15,3,0,4,0,3,2,1,3,0
"org.antlr.v4.tool.ast.RuleElementAST",0,0,0,0,0,0,0,0,0,0
"org.antlr.v4.automata.TailEpsilonRemover",28,13,21,1,0,17,5,1,2,0
"org.antlr.v4.codegen.model.Recognizer",74,15,13,1,2,61,9,1,3,0
"org.antlr.v4.tool.DefaultToolListener",26,7,3,0,0,25,8,1,4,0
"org.antlr.v4.tool.Alternative",72,30,22,0,0,54,12,1,9,0
"org.antlr.v4.codegen.model.VisitorFile",35,7,9,2,1,32,0,1,1,1
"org.antlr.v4.codegen.model.LL1AltBlock",10,1,0,5,1,7,0,1,1,0
"org.antlr.v4.tool.ast.PlusBlockAST",16,5,0,2,0,5,4,1,5,0
"org.antlr.v4.codegen.model.SrcOp",30,10,7,1,10,12,2,1,4,0
"org.antlr.v4.codegen.target.CSharpTarget",116,7,0,1,0,5,6,6,7,0
"org.antlr.v4.codegen.target.JavaScriptTarget",37,7,0,1,0,2,6,7,7,0
"org.antlr.v4.codegen.model.ListenerDispatchMethod",7,1,0,2,0,1,0,1,1,0
"org.antlr.v4.codegen.model.ThrowRecognitionException",12,1,0,2,2,7,0,1,1,0
"org.antlr.v4.codegen.model.decl.ContextRuleListIndexedGetterDecl",14,4,0,5,0,1,3,2,4,0
"org.antlr.v4.codegen.model.TokenInfo",14,2,0,0,0,2,1,1,2,0
"org.antlr.v4.codegen.model.ExceptionClause",12,1,0,2,0,4,0,1,1,0
"org.antlr.v4.codegen.model.decl.ContextTokenGetterDecl",13,3,0,4,0,2,2,1,3,0
"org.antlr.v4.codegen.model.chunk.SetNonLocalAttr",12,1,0,4,0,2,0,1,1,0
"org.antlr.v4.codegen.model.VisitorDispatchMethod",5,1,0,2,0,0,0,1,1,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_pos",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.target.Python2Target",63,7,0,1,0,4,5,6,7,0
"org.antlr.v4.codegen.model.LexerFile",16,1,0,2,0,17,0,1,1,0
"org.antlr.v4.codegen.model.decl.TokenTypeDecl",5,1,0,3,0,0,0,1,1,0
"org.antlr.v4.codegen.model.RuleSempredFunction",5,1,0,2,0,0,0,1,1,0
"org.antlr.v4.codegen.Target",392,112,78,0,11,174,84,1,52,0
"org.antlr.v4.codegen.OutputModelFactory",37,35,0,0,0,0,35,35,35,0
