"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.antlr.v4.tool.GrammarTransformPipeline://GrammarTransformPipeline.constructor$[43:8,46:1]",4,1,0,2,0
"org.antlr.v4.tool.GrammarTransformPipeline://process$[48:8,58:1]",9,2,1,0,0
"org.antlr.v4.tool.GrammarTransformPipeline://reduceBlocksToSets$[60:8,66:1]",7,1,0,1,0
"org.antlr.v4.tool.GrammarTransformPipeline://expandParameterizedLoops$[76:11,89:4]",5,2,1,1,0
"org.antlr.v4.tool.GrammarTransformPipeline://expandParameterizedLoop$[91:11,94:4]",3,1,0,1,0
"org.antlr.v4.tool.GrammarTransformPipeline://setGrammarPtr$[97:15,107:1]",6,2,1,2,0
"org.antlr.v4.tool.GrammarTransformPipeline://augmentTokensWithOriginalPosition$[109:15,140:1]",25,7,12,2,0
"org.antlr.v4.tool.GrammarTransformPipeline://integrateImportedGrammars$[156:8,366:1]",168,43,125,1,0
"org.antlr.v4.tool.GrammarTransformPipeline://extractImplicitLexer$[385:8,510:1]",89,21,34,1,0
"org.antlr.v4.codegen.model.chunk.TokenRef://TokenRef.constructor$[13:8,15:1]",3,1,0,3,0
"org.antlr.v4.codegen.model.decl.ContextTokenListGetterDecl://ContextTokenListGetterDecl.constructor$[15:8,17:1]",3,1,0,2,0
"org.antlr.v4.codegen.model.decl.ContextTokenListGetterDecl://ContextTokenListGetterDecl.constructor$[19:8,21:1]",3,1,0,3,0
"org.antlr.v4.codegen.model.decl.ContextTokenListGetterDecl://getSignatureDecl$[24:8,26:1]",3,1,0,0,0
"org.antlr.v4.codegen.model.chunk.TokenPropertyRef_channel://TokenPropertyRef_channel.constructor$[13:8,15:1]",3,1,0,2,0
"org.antlr.v4.codegen.model.decl.TokenListDecl://TokenListDecl.constructor$[13:8,15:1]",3,1,0,2,0
"org.antlr.v4.codegen.model.LeftRecursiveRuleFunction://LeftRecursiveRuleFunction.constructor$[21:8,51:1]",25,7,14,2,0
"org.antlr.v4.codegen.LexerFactory://LexerFactory.constructor$[11:8,11:54]",1,1,0,1,0
"org.antlr.v4.tool.ast.BlockAST://BlockAST.constructor$[23:8,25:1]",3,1,0,1,0
"org.antlr.v4.tool.ast.BlockAST://BlockAST.constructor$[27:8,27:38]",1,1,0,1,0
"org.antlr.v4.tool.ast.BlockAST://BlockAST.constructor$[28:11,28:45]",1,1,0,1,0
"org.antlr.v4.tool.ast.BlockAST://BlockAST.constructor$[29:11,29:57]",1,1,0,2,0
"org.antlr.v4.tool.ast.BlockAST://BlockAST.constructor$[30:8,30:71]",1,1,0,3,0
"org.antlr.v4.tool.ast.BlockAST://dupNode$[33:8,33:56]",1,1,0,0,0
"org.antlr.v4.tool.ast.BlockAST://visit$[36:8,36:66]",1,1,0,1,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode://GrammarASTErrorNode.constructor$[16:11,20:4]",4,1,0,4,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode://isNil$[23:11,23:54]",1,1,0,0,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode://getType$[26:11,26:54]",1,1,0,0,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode://getText$[29:11,29:57]",1,1,0,0,0
"org.antlr.v4.tool.ast.GrammarASTErrorNode://toString$[31:11,31:59]",1,1,0,0,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[36:11,36:25]",1,1,0,0,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[37:11,37:43]",1,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[38:11,43:1]",6,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[44:11,44:94]",1,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[45:11,48:1]",4,1,0,2,0
"org.antlr.v4.tool.ast.GrammarAST://GrammarAST.constructor$[49:11,53:4]",5,1,0,3,0
"org.antlr.v4.tool.ast.GrammarAST://getChildrenAsArray$[55:8,57:1]",3,1,0,0,0
"org.antlr.v4.tool.ast.GrammarAST://getNodesWithType$[59:8,61:1]",3,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://getAllChildrenWithType$[63:8,72:1]",10,4,4,1,0
"org.antlr.v4.tool.ast.GrammarAST://getNodesWithType$[74:8,87:1]",13,5,6,1,0
"org.antlr.v4.tool.ast.GrammarAST://getNodesWithTypePreorderDFS$[89:8,93:1]",5,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://getNodesWithTypePreorderDFS_$[95:8,102:1]",7,3,2,2,0
"org.antlr.v4.tool.ast.GrammarAST://getNodeWithTokenIndex$[104:8,117:1]",13,5,5,1,0
"org.antlr.v4.tool.ast.GrammarAST://getOutermostAltNode$[119:8,125:1]",7,4,3,0,0
"org.antlr.v4.tool.ast.GrammarAST://getAltLabel$[131:8,145:1]",15,6,10,0,0
"org.antlr.v4.tool.ast.GrammarAST://deleteChild$[147:8,156:1]",10,3,3,1,0
"org.antlr.v4.tool.ast.GrammarAST://getFirstDescendantWithType$[161:11,171:4]",11,6,7,1,0
"org.antlr.v4.tool.ast.GrammarAST://getFirstDescendantWithType$[174:8,184:1]",11,6,7,1,0
"org.antlr.v4.tool.ast.GrammarAST://setType$[186:8,188:1]",3,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://setText$[199:8,202:1]",3,1,0,1,0
"org.antlr.v4.tool.ast.GrammarAST://dupNode$[210:11,212:4]",3,1,0,0,0
"org.antlr.v4.tool.ast.GrammarAST://dupTree$[214:8,219:1]",6,1,0,0,0
"org.antlr.v4.tool.ast.GrammarAST://toTokenString$[221:8,237:1]",16,2,1,0,0
"org.antlr.v4.tool.ast.GrammarAST://visit$[239:8,239:66]",1,1,0,1,0
"org.antlr.v4.codegen.model.MatchNotSet://MatchNotSet.constructor$[14:8,16:1]",3,1,0,2,0
"org.antlr.v4.tool.ErrorManager://ErrorManager.constructor$[38:8,40:1]",3,1,0,1,0
"org.antlr.v4.tool.ErrorManager://resetErrorState$[42:8,45:1]",4,1,0,0,0
"org.antlr.v4.tool.ErrorManager://getMessageTemplate$[47:8,90:1]",33,8,10,1,0
"org.antlr.v4.tool.ErrorManager://getLocationFormat$[95:11,97:4]",3,1,0,0,0
"org.antlr.v4.tool.ErrorManager://getReportFormat$[99:11,103:4]",5,1,0,1,0
"org.antlr.v4.tool.ErrorManager://getMessageFormat$[105:11,107:4]",3,1,0,0,0
"org.antlr.v4.tool.ErrorManager://formatWantsSingleLineMessage$[108:11,110:4]",3,1,0,0,0
"org.antlr.v4.tool.ErrorManager://info$[112:8,112:48]",1,1,0,1,0
"org.antlr.v4.tool.ErrorManager://syntaxError$[114:8,122:1]",5,1,0,5,0
"org.antlr.v4.tool.ErrorManager://fatalInternalError$[124:15,127:1]",4,1,0,2,0
"org.antlr.v4.tool.ErrorManager://internalError$[129:15,132:4]",4,1,0,2,0
"org.antlr.v4.tool.ErrorManager://internalError$[134:18,139:4]",5,1,0,1,0
"org.antlr.v4.tool.ErrorManager://toolError$[147:8,149:1]",3,1,0,2,0
"org.antlr.v4.tool.ErrorManager://toolError$[151:8,154:1]",4,1,0,3,0
"org.antlr.v4.tool.ErrorManager://grammarError$[156:11,164:1]",5,1,0,4,0
"org.antlr.v4.tool.ErrorManager://leftRecursionCycles$[166:8,170:1]",5,1,0,2,0
"org.antlr.v4.tool.ErrorManager://getNumErrors$[172:11,174:4]",3,1,0,0,0
"org.antlr.v4.tool.ErrorManager://getLastNonErrorManagerCodeLocation$[177:19,188:4]",12,3,3,1,0
"org.antlr.v4.tool.ErrorManager://emit$[193:8,213:1]",19,8,5,2,0
"org.antlr.v4.tool.ErrorManager://setFormat$[218:11,264:1]",41,10,11,1,0
"org.antlr.v4.tool.ErrorManager://verifyFormat$[267:14,282:4]",16,4,3,0,0
"org.antlr.v4.tool.ErrorManager://rawError$[287:11,289:4]",3,1,0,1,0
"org.antlr.v4.tool.ErrorManager://rawError$[291:11,294:4]",4,1,0,2,0
"org.antlr.v4.tool.ErrorManager://panic$[296:8,304:1]",9,2,1,2,0
"org.antlr.v4.tool.ErrorManager://panic$[306:15,309:1]",4,1,0,1,0
"org.antlr.v4.tool.ErrorManager://panic$[311:18,315:4]",3,1,0,0,0
"org.antlr.v4.tool.Rule://Rule.initializer$[33:1,39:1]",7,1,0,0,0
"org.antlr.v4.tool.Rule://Rule.initializer$[42:1,53:1]",9,1,0,0,0
"org.antlr.v4.tool.Rule://Rule.constructor$[108:8,110:1]",3,1,0,4,0
"org.antlr.v4.tool.Rule://Rule.constructor$[112:8,121:1]",10,2,1,6,0
"org.antlr.v4.tool.Rule://defineActionInAlt$[123:8,129:1]",7,2,1,2,0
"org.antlr.v4.tool.Rule://defineLexerAction$[132:8,137:1]",6,2,1,1,0
"org.antlr.v4.tool.Rule://definePredicateInAlt$[139:8,145:1]",7,2,1,2,0
"org.antlr.v4.tool.Rule://resolveRetvalOrProperty$[147:8,154:1]",8,3,3,1,0
"org.antlr.v4.tool.Rule://getTokenRefs$[156:8,162:4]",7,2,1,0,0
"org.antlr.v4.tool.Rule://getElementLabelNames$[164:11,171:4]",8,3,2,0,0
"org.antlr.v4.tool.Rule://getElementLabelDefs$[173:11,184:4]",11,4,6,0,0
"org.antlr.v4.tool.Rule://hasAltSpecificContexts$[186:8,188:1]",3,1,0,0,0
"org.antlr.v4.tool.Rule://getOriginalNumberOfAlts$[191:8,193:1]",3,1,0,0,0
"org.antlr.v4.tool.Rule://getAltLabels$[201:8,217:1]",16,5,7,0,0
"org.antlr.v4.tool.Rule://getUnlabeledAltASTs$[219:8,227:1]",9,4,4,0,0
"org.antlr.v4.tool.Rule://resolveToAttribute$[232:8,244:1]",13,7,9,2,0
"org.antlr.v4.tool.Rule://resolveToAttribute$[248:8,265:1]",15,5,7,3,0
"org.antlr.v4.tool.Rule://resolvesToLabel$[268:8,273:1]",6,3,2,2,0
"org.antlr.v4.tool.Rule://resolvesToListLabel$[276:8,281:1]",6,3,2,2,0
"org.antlr.v4.tool.Rule://resolvesToToken$[284:8,288:1]",5,3,2,2,0
"org.antlr.v4.tool.Rule://resolvesToAttributeDict$[291:8,294:1]",4,2,1,2,0
"org.antlr.v4.tool.Rule://resolveToRule$[296:8,303:1]",8,4,3,1,0
"org.antlr.v4.tool.Rule://getAnyLabelDef$[305:8,309:1]",5,2,1,1,0
"org.antlr.v4.tool.Rule://getPredefinedScope$[311:11,314:4]",4,1,0,1,0
