"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.elasticsearch.persistent.RemovePersistentTaskAction",81,1,0,0,0,24,0,1,1,0
"org.elasticsearch.ingest.WrappingProcessor",6,2,0,1,0,1,2,1,2,0
"org.elasticsearch.common.blobstore.BlobPath",45,16,7,0,0,20,17,1,8,0
"org.elasticsearch.common.UUIDGenerator",3,1,0,0,0,0,1,1,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse",72,18,5,3,2,56,21,3,13,3
"org.elasticsearch.search.suggest.completion.context.GeoContextMapping",243,59,80,0,0,161,61,2,12,3
"org.elasticsearch.index.mapper.ContentPath",53,12,2,0,0,22,11,1,10,0
"org.elasticsearch.index.shard.ShardId",73,23,9,0,0,46,26,1,15,0
"org.elasticsearch.index.engine.CombinedDocValues",55,12,6,0,0,41,9,1,6,0
"org.elasticsearch.action.fieldcaps.FieldCapabilitiesFailure",57,9,0,0,0,46,16,1,9,2
"org.elasticsearch.common.inject.TypeLiteral",139,45,53,0,0,94,38,1,18,0
"org.elasticsearch.common.xcontent.XContentHelper",377,98,104,0,0,321,75,2,30,0
"org.elasticsearch.index.engine.ReadOnlyEngine",382,94,30,1,1,141,124,31,67,3
"org.elasticsearch.action.support.replication.ReplicationRequest",116,34,12,3,0,52,28,31,23,0
"org.elasticsearch.common.time.DateMathParser",6,2,0,0,0,0,1,1,2,0
"org.elasticsearch.action.admin.cluster.allocation.DesiredBalanceResponse",193,17,4,3,0,118,26,1,11,10
"org.elasticsearch.common.lucene.search.function.CombineFunction",25,5,0,0,0,16,9,5,5,0
"org.elasticsearch.common.inject.InjectorBuilder",94,18,13,0,0,60,34,1,8,0
"org.elasticsearch.health.HealthStatus",46,16,2,0,0,50,15,4,8,1
"org.elasticsearch.action.admin.cluster.snapshots.get.GetSnapshotsRequestBuilder",64,17,1,0,0,20,28,1,16,0
"org.elasticsearch.index.engine.VersionConflictEngineException",38,7,1,2,0,2,2,3,6,0
"org.elasticsearch.gateway.GatewayAllocator",224,27,14,0,0,122,42,1,14,7
"org.elasticsearch.repositories.RepositoryData",759,142,142,0,0,429,117,1,37,8
"org.elasticsearch.search.aggregations.support.MissingValues",277,47,41,0,0,81,34,1,11,2
"org.elasticsearch.index.query.RangeQueryBuilder",384,108,79,0,0,253,76,2,36,0
"org.elasticsearch.snapshots.RepositoryIntegrityHealthIndicatorService",92,9,6,0,0,51,28,1,4,1
"org.elasticsearch.index.query.IntervalBuilder",210,40,44,0,0,97,39,1,10,0
"org.elasticsearch.search.aggregations.pipeline.InternalSimpleValue",49,19,8,0,0,26,20,3,11,0
"org.elasticsearch.watcher.ResourceWatcher",4,2,0,0,0,0,2,2,2,0
"org.elasticsearch.search.aggregations.bucket.terms.GlobalOrdinalsStringTermsAggregator",584,21,24,7,0,240,22,1,7,8
"org.elasticsearch.transport.ProxyConnectionStrategy",293,30,28,1,0,132,36,3,14,11
"org.elasticsearch.search.vectors.KnnVectorQueryBuilder",165,49,39,0,0,110,48,1,18,0
