"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.elasticsearch.persistent.RemovePersistentTaskAction://RemovePersistentTaskAction.constructor$[38:12,40:4]",3,1,0,0,0
"org.elasticsearch.ingest.WrappingProcessor://getInnerProcessor$[21:4,21:33]",1,1,0,0,0
"org.elasticsearch.ingest.WrappingProcessor://isAsync$[23:4,25:4]",3,1,0,0,0
"org.elasticsearch.common.blobstore.BlobPath://BlobPath.constructor$[29:12,31:4]",3,1,0,1,0
"org.elasticsearch.common.blobstore.BlobPath://parts$[33:11,35:4]",3,1,0,0,0
"org.elasticsearch.common.blobstore.BlobPath://add$[37:11,39:4]",3,1,0,1,0
"org.elasticsearch.common.blobstore.BlobPath://buildAsString$[41:11,47:4]",7,3,2,0,0
"org.elasticsearch.common.blobstore.BlobPath://parent$[55:11,62:4]",8,3,1,0,0
"org.elasticsearch.common.blobstore.BlobPath://toString$[65:11,71:4]",7,2,1,0,0
"org.elasticsearch.common.blobstore.BlobPath://equals$[74:11,79:4]",6,4,3,1,0
"org.elasticsearch.common.blobstore.BlobPath://hashCode$[82:11,84:4]",3,1,0,0,0
"org.elasticsearch.common.UUIDGenerator://getBase64UUID$[15:4,15:26]",1,1,0,0,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://declareAcknowledgedField$[37:54,44:4]",8,1,0,1,1
"org.elasticsearch.action.support.master.AcknowledgedResponse://readFrom$[48:18,50:4]",3,2,1,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://AcknowledgedResponse.constructor$[52:14,55:4]",4,1,0,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://of$[57:18,59:4]",3,2,1,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://AcknowledgedResponse.constructor$[61:14,63:4]",3,1,0,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://isAcknowledged$[70:17,72:4]",3,1,0,0,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://writeTo$[75:11,77:4]",3,1,0,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://toXContent$[80:17,86:4]",7,1,0,2,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://addCustomFields$[88:14,90:4]",2,1,0,2,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://AcknowledgedResponse.initializer$[101:4,108:4]",8,1,0,0,1
"org.elasticsearch.action.support.master.AcknowledgedResponse://fromXContent$[110:18,112:4]",3,1,0,1,0
"org.elasticsearch.action.support.master.AcknowledgedResponse://equals$[115:11,124:4]",10,4,3,1,0
