"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory",44,13,12,0,0,21,13,1,3,0
"com.google.gson.reflect.TypeToken",193,55,50,0,0,113,36,1,20,0
"com.google.gson.internal.bind.JsonTreeWriter",157,50,33,1,0,59,31,4,20,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory",352,53,81,0,0,175,55,1,7,0
"com.google.gson.JsonSerializer",3,1,0,0,0,0,1,1,1,0
"com.google.gson.JsonSerializationContext",4,2,0,0,0,0,1,1,2,0
"com.google.gson.internal.Excluder",168,58,47,0,0,53,43,1,17,0
"com.google.gson.internal.PreJava9DateFormatProvider",50,17,3,0,0,7,6,1,5,0
"com.google.gson.internal.LinkedTreeMap",442,96,112,0,0,183,37,3,23,0
"com.google.gson.internal.bind.TypeAdapters",781,13,7,0,0,447,8,2,6,0
"com.google.gson.internal.bind.MapTypeAdapterFactory",137,6,3,0,0,91,9,1,3,0
"com.google.gson.InstanceCreator",3,1,0,0,0,0,1,1,1,0
"com.google.gson.ToNumberPolicy",10,0,0,0,0,6,0,0,0,0
"com.google.gson.internal.bind.util.ISO8601Utils",198,59,70,0,0,142,39,1,8,0
"com.google.gson.GsonBuilder",235,54,22,0,0,162,50,1,31,0
"com.google.gson.JsonDeserializer",4,1,0,0,0,0,1,1,1,0
"com.google.gson.internal.sql.SqlDateTypeAdapter",38,6,3,0,0,20,13,2,3,0
"com.google.gson.internal.$Gson$Preconditions",16,5,2,0,0,6,4,3,3,0
"com.google.gson.internal.bind.NumberTypeAdapter",37,11,4,0,0,9,9,3,5,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory",54,3,1,0,0,24,8,1,2,0
"com.google.gson.stream.JsonScope",10,0,0,0,0,17,0,0,0,0
"com.google.gson.internal.JsonReaderInternalAccess",4,1,0,0,0,2,1,0,1,0
"com.google.gson.internal.bind.JsonTreeReader",268,87,69,1,0,95,50,4,28,0
"com.google.gson.JsonIOException",12,3,0,1,0,0,0,1,3,0
"com.google.gson.FieldAttributes",30,9,0,0,0,11,12,1,9,0
"com.google.gson.ToNumberStrategy",3,1,0,0,0,0,1,1,1,0
"com.google.gson.stream.JsonToken",12,0,0,0,0,79,0,0,0,0
"com.google.gson.internal.Streams",81,10,7,0,0,38,8,3,4,0
"com.google.gson.internal.bind.SerializationDelegatingTypeAdapter",3,1,0,0,0,0,1,3,1,0
"com.google.gson.internal.Primitives",41,32,20,0,0,4,4,2,5,0
"com.google.gson.internal.bind.ArrayTypeAdapter",59,10,8,0,0,31,17,1,3,0
"com.google.gson.internal.JavaVersion",53,17,11,0,0,17,14,3,7,0
"com.google.gson.Gson",546,94,60,0,0,298,78,2,41,0
"com.google.gson.internal.bind.DefaultDateTypeAdapter",102,19,13,0,0,67,19,1,7,0
"com.google.gson.internal.bind.ObjectTypeAdapter",107,30,30,0,0,31,21,3,7,0
"com.google.gson.internal.sql.SqlTimestampTypeAdapter",23,4,1,0,0,9,4,1,3,0
"com.google.gson.JsonElement",88,28,5,0,4,34,31,1,23,0
"com.google.gson.internal.$Gson$Types",414,97,121,0,0,171,49,2,21,0
"com.google.gson.internal.reflect.ReflectionHelper",175,26,13,0,0,93,27,2,14,0
"com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper",44,14,11,0,0,11,6,1,5,0
"com.google.gson.internal.sql.SqlTypesSupport",41,5,3,0,0,32,0,2,2,0
"com.google.gson.JsonDeserializationContext",3,1,0,0,0,0,1,1,1,0
"com.google.gson.ExclusionStrategy",4,2,0,0,0,0,2,2,2,0
"com.google.gson.stream.JsonWriter",312,101,59,0,1,80,43,2,37,0
"com.google.gson.JsonStreamParser",38,10,5,0,0,15,10,2,5,0
"com.google.gson.internal.NonNullElementWrapperList",60,19,1,0,0,19,16,1,18,0
"com.google.gson.internal.ConstructorConstructor",256,53,55,0,0,69,27,1,8,0
"com.google.gson.TypeAdapterFactory",3,1,0,0,0,0,1,1,1,0
"com.google.gson.JsonSyntaxException",12,3,0,1,0,0,0,1,3,0
"com.google.gson.JsonParseException",12,3,0,0,2,0,0,1,3,0
"com.google.gson.stream.MalformedJsonException",12,3,0,1,0,0,0,1,3,0
"com.google.gson.stream.JsonReader",1016,371,300,0,1,248,58,2,42,0
"com.google.gson.JsonPrimitive",127,57,31,1,0,56,43,1,23,0
