"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory://JsonAdapterAnnotationTypeAdapterFactory.constructor$[37:9,39:2]",3,1,0,1,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory://create$[43:13,50:2]",8,2,1,2,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory://getTypeAdapter$[52:2,87:2]",29,10,11,4,0
"com.google.gson.reflect.TypeToken://TypeToken.constructor$[69:12,73:2]",5,1,0,0,0
"com.google.gson.reflect.TypeToken://TypeToken.constructor$[79:10,83:2]",5,1,0,1,0
"com.google.gson.reflect.TypeToken://getTypeTokenTypeArgument$[90:10,106:2]",14,4,4,0,0
"com.google.gson.reflect.TypeToken://getRawType$[111:15,113:2]",3,1,0,0,0
"com.google.gson.reflect.TypeToken://getType$[118:15,120:2]",3,1,0,0,0
"com.google.gson.reflect.TypeToken://isAssignableFrom$[129:9,131:2]",3,1,0,1,0
"com.google.gson.reflect.TypeToken://isAssignableFrom$[140:9,161:2]",20,8,7,1,0
"com.google.gson.reflect.TypeToken://isAssignableFrom$[170:9,172:2]",3,1,0,1,0
"com.google.gson.reflect.TypeToken://isAssignableFrom$[178:17,197:2]",18,5,7,2,0
"com.google.gson.reflect.TypeToken://isAssignableFrom$[203:17,250:2]",37,10,14,3,0
"com.google.gson.reflect.TypeToken://typeEquals$[256:17,269:2]",14,4,6,3,0
"com.google.gson.reflect.TypeToken://buildUnexpectedTypeError$[271:17,284:2]",10,2,1,2,0
"com.google.gson.reflect.TypeToken://matches$[290:17,295:2]",5,3,2,3,0
"com.google.gson.reflect.TypeToken://hashCode$[297:25,299:2]",3,1,0,0,0
"com.google.gson.reflect.TypeToken://equals$[301:25,304:2]",4,2,1,1,0
"com.google.gson.reflect.TypeToken://toString$[306:25,308:2]",3,1,0,0,0
"com.google.gson.reflect.TypeToken://get$[313:16,315:2]",3,1,0,1,0
"com.google.gson.reflect.TypeToken://get$[320:20,322:2]",3,1,0,1,0
"com.google.gson.reflect.TypeToken://getParameterized$[341:16,377:2]",28,6,8,2,0
"com.google.gson.reflect.TypeToken://getArray$[382:16,384:2]",3,1,0,1,0
"com.google.gson.internal.bind.JsonTreeWriter://JsonTreeWriter.constructor$[58:9,60:2]",3,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://get$[65:9,70:2]",6,2,1,0,0
"com.google.gson.internal.bind.JsonTreeWriter://peek$[72:10,74:2]",3,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://put$[76:10,93:2]",18,8,9,1,0
"com.google.gson.internal.bind.JsonTreeWriter://beginArray$[95:19,100:2]",6,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://endArray$[102:19,112:2]",11,4,3,0,0
"com.google.gson.internal.bind.JsonTreeWriter://beginObject$[114:19,119:2]",6,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://endObject$[121:19,131:2]",11,4,3,0,0
"com.google.gson.internal.bind.JsonTreeWriter://name$[133:19,144:2]",12,4,3,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[146:19,152:2]",7,2,1,1,0
"com.google.gson.internal.bind.JsonTreeWriter://jsonValue$[154:19,156:2]",3,1,0,1,0
"com.google.gson.internal.bind.JsonTreeWriter://nullValue$[158:19,161:2]",4,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[163:19,166:2]",4,1,0,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[168:19,174:2]",7,2,1,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[176:19,182:2]",7,4,3,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[184:19,190:2]",7,4,3,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[192:19,195:2]",4,1,0,1,0
"com.google.gson.internal.bind.JsonTreeWriter://value$[197:19,211:2]",13,5,5,1,0
"com.google.gson.internal.bind.JsonTreeWriter://flush$[213:19,214:2]",2,1,0,0,0
"com.google.gson.internal.bind.JsonTreeWriter://close$[216:19,221:2]",6,2,1,0,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://ReflectiveTypeAdapterFactory.constructor$[68:9,77:2]",8,1,0,5,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://includeField$[79:10,81:2]",3,2,1,2,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://getFieldNames$[84:10,101:2]",16,3,2,1,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://create$[104:13,131:2]",20,4,3,2,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://checkAccessible$[133:55,140:2]",8,3,3,2,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://createBoundField$[142:10,226:2]",17,19,21,8,0
"com.google.gson.internal.bind.ReflectiveTypeAdapterFactory://getBoundFields$[228:10,309:2]",65,21,51,5,0
"com.google.gson.JsonSerializer://serialize$[91:9,91:87]",1,1,0,3,0
"com.google.gson.JsonSerializationContext://serialize$[36:9,36:42]",1,1,0,1,0
"com.google.gson.JsonSerializationContext://serialize$[48:9,48:58]",1,1,0,2,0
"com.google.gson.internal.Excluder://clone$[61:22,67:2]",7,2,1,0,0
"com.google.gson.internal.Excluder://withVersion$[69:9,73:2]",5,1,0,1,0
"com.google.gson.internal.Excluder://withModifiers$[75:9,82:2]",8,2,1,1,0
"com.google.gson.internal.Excluder://disableInnerClassSerialization$[84:9,88:2]",5,1,0,0,0
"com.google.gson.internal.Excluder://excludeFieldsWithoutExposeAnnotation$[90:9,94:2]",5,1,0,0,0
"com.google.gson.internal.Excluder://withExclusionStrategy$[96:9,108:2]",13,3,2,3,0
"com.google.gson.internal.Excluder://create$[110:23,148:2]",11,8,7,2,0
"com.google.gson.internal.Excluder://excludeField$[150:9,190:2]",34,16,21,2,0
"com.google.gson.internal.Excluder://excludeClassChecks$[192:10,202:2]",9,5,4,1,0
"com.google.gson.internal.Excluder://excludeClass$[204:9,207:2]",4,2,1,2,0
"com.google.gson.internal.Excluder://excludeClassInStrategy$[209:10,217:2]",9,4,4,2,0
"com.google.gson.internal.Excluder://isAnonymousOrNonStaticLocal$[219:10,222:2]",4,4,2,1,0
"com.google.gson.internal.Excluder://isInnerClass$[224:10,226:2]",3,2,1,1,0
"com.google.gson.internal.Excluder://isStatic$[228:10,230:2]",3,1,0,1,0
"com.google.gson.internal.Excluder://isValidVersion$[232:10,234:2]",3,2,1,2,0
"com.google.gson.internal.Excluder://isValidSince$[236:10,242:2]",7,2,1,1,0
"com.google.gson.internal.Excluder://isValidUntil$[244:10,250:2]",7,2,1,1,0
"com.google.gson.internal.PreJava9DateFormatProvider://getUSDateFormat$[30:16,32:2]",3,1,0,1,0
"com.google.gson.internal.PreJava9DateFormatProvider://getUSDateTimeFormat$[38:16,41:2]",4,1,0,2,0
"com.google.gson.internal.PreJava9DateFormatProvider://getDateFormatPattern$[43:17,56:2]",14,5,1,1,0
"com.google.gson.internal.PreJava9DateFormatProvider://getDatePartOfDateTimePattern$[58:17,71:2]",14,5,1,1,0
"com.google.gson.internal.PreJava9DateFormatProvider://getTimePartOfDateTimePattern$[73:17,85:2]",13,5,1,1,0
"com.google.gson.internal.LinkedTreeMap://LinkedTreeMap.constructor$[65:9,67:2]",3,1,0,0,0
"com.google.gson.internal.LinkedTreeMap://LinkedTreeMap.constructor$[76:9,78:2]",3,1,0,1,0
"com.google.gson.internal.LinkedTreeMap://LinkedTreeMap.constructor$[89:9,95:2]",7,2,1,2,0
"com.google.gson.internal.LinkedTreeMap://size$[97:19,99:2]",3,1,0,0,0
"com.google.gson.internal.LinkedTreeMap://get$[101:19,104:2]",4,2,1,1,0
"com.google.gson.internal.LinkedTreeMap://containsKey$[106:19,108:2]",3,1,0,1,0
"com.google.gson.internal.LinkedTreeMap://put$[110:19,121:2]",12,4,3,2,0
"com.google.gson.internal.LinkedTreeMap://clear$[123:19,131:2]",7,1,0,0,0
"com.google.gson.internal.LinkedTreeMap://remove$[133:19,136:2]",4,2,1,1,0
"com.google.gson.internal.LinkedTreeMap://find$[144:2,204:2]",45,15,26,2,0
"com.google.gson.internal.LinkedTreeMap://findByObject$[207:2,213:2]",7,3,2,1,0
"com.google.gson.internal.LinkedTreeMap://findByEntry$[224:2,228:2]",5,3,2,1,0
"com.google.gson.internal.LinkedTreeMap://equal$[230:10,232:2]",3,1,0,2,0
"com.google.gson.internal.LinkedTreeMap://removeInternal$[240:2,297:2]",43,10,12,2,0
"com.google.gson.internal.LinkedTreeMap://removeInternalByKey$[299:2,305:2]",7,2,1,1,0
"com.google.gson.internal.LinkedTreeMap://replaceInParent$[307:10,324:2]",17,6,6,2,0
"com.google.gson.internal.LinkedTreeMap://rebalance$[333:10,391:2]",53,25,47,2,0
"com.google.gson.internal.LinkedTreeMap://rotateLeft$[396:10,419:2]",17,5,4,1,0
"com.google.gson.internal.LinkedTreeMap://rotateRight$[424:10,447:2]",17,5,4,1,0
"com.google.gson.internal.LinkedTreeMap://entrySet$[452:19,455:2]",4,2,1,0,0
"com.google.gson.internal.LinkedTreeMap://keySet$[457:19,460:2]",4,2,1,0,0
"com.google.gson.internal.LinkedTreeMap://writeReplace$[655:10,657:2]",3,1,0,0,0
"com.google.gson.internal.LinkedTreeMap://readObject$[659:10,662:2]",3,1,0,1,0
"com.google.gson.internal.bind.TypeAdapters://TypeAdapters.constructor$[67:10,69:2]",3,1,0,0,0
"com.google.gson.internal.bind.TypeAdapters://newFactory$[935:21,943:2]",5,2,1,2,0
"com.google.gson.internal.bind.TypeAdapters://newFactory$[945:21,956:2]",5,2,1,2,0
"com.google.gson.internal.bind.TypeAdapters://newFactory$[958:21,971:2]",5,3,2,3,0
"com.google.gson.internal.bind.TypeAdapters://newFactoryForMultipleTypes$[973:21,986:2]",5,3,2,3,0
"com.google.gson.internal.bind.TypeAdapters://newTypeHierarchyFactory$[992:21,1020:2]",5,2,1,2,0
"com.google.gson.internal.bind.MapTypeAdapterFactory://MapTypeAdapterFactory.constructor$[109:9,113:2]",5,1,0,2,0
"com.google.gson.internal.bind.MapTypeAdapterFactory://create$[115:23,133:2]",14,2,1,2,0
"com.google.gson.internal.bind.MapTypeAdapterFactory://getKeyAdapter$[138:10,142:2]",5,3,2,2,0
"com.google.gson.InstanceCreator://createInstance$[91:9,91:36]",1,1,0,1,0
"com.google.gson.internal.bind.util.ISO8601Utils://format$[48:18,50:4]",3,1,0,1,0
"com.google.gson.internal.bind.util.ISO8601Utils://format$[59:18,61:4]",3,1,0,2,0
"com.google.gson.internal.bind.util.ISO8601Utils://format$[71:18,110:4]",35,7,7,3,0
"com.google.gson.internal.bind.util.ISO8601Utils://parse$[127:18,282:4]",112,34,49,2,0
"com.google.gson.internal.bind.util.ISO8601Utils://checkOffset$[292:19,294:4]",3,2,1,3,0
"com.google.gson.internal.bind.util.ISO8601Utils://parseInt$[305:19,329:4]",23,8,8,3,0
"com.google.gson.internal.bind.util.ISO8601Utils://padInt$[338:19,344:4]",7,2,1,3,0
"com.google.gson.internal.bind.util.ISO8601Utils://indexOfNonDigit$[349:19,355:4]",7,4,4,2,0
"com.google.gson.GsonBuilder://GsonBuilder.constructor$[115:9,116:2]",2,1,0,0,0
"com.google.gson.GsonBuilder://GsonBuilder.constructor$[124:2,145:2]",22,1,0,1,0
"com.google.gson.GsonBuilder://setVersion$[162:9,168:2]",7,3,2,1,0
"com.google.gson.GsonBuilder://excludeFieldsWithModifiers$[184:9,188:2]",5,1,0,1,0
"com.google.gson.GsonBuilder://generateNonExecutableJson$[199:9,202:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://excludeFieldsWithoutExposeAnnotation$[213:9,216:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://serializeNulls$[225:9,228:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://enableComplexMapKeySerialization$[309:9,312:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://disableInnerClassSerialization$[333:9,336:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://setLongSerializationPolicy$[346:9,349:2]",4,1,0,1,0
"com.google.gson.GsonBuilder://setFieldNamingPolicy$[357:9,359:2]",3,1,0,1,0
"com.google.gson.GsonBuilder://setFieldNamingStrategy$[373:9,376:2]",4,1,0,1,0
"com.google.gson.GsonBuilder://setObjectToNumberStrategy$[386:9,389:2]",4,1,0,1,0
"com.google.gson.GsonBuilder://setNumberToNumberStrategy$[399:9,402:2]",4,1,0,1,0
"com.google.gson.GsonBuilder://setExclusionStrategies$[430:9,436:2]",7,2,1,1,0
"com.google.gson.GsonBuilder://addSerializationExclusionStrategy$[453:9,457:2]",5,1,0,1,0
"com.google.gson.GsonBuilder://addDeserializationExclusionStrategy$[474:9,478:2]",5,1,0,1,0
"com.google.gson.GsonBuilder://setPrettyPrinting$[486:9,489:2]",4,1,0,0,0
"com.google.gson.GsonBuilder://setLenient$[501:9,504:2]",4,1,0,0,0
