"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"jenkins.security.CustomClassFilter",57,2,0,1,0,36,1,1,2,0
"jenkins.agents.AgentComputerUtil",17,6,3,0,0,6,6,2,3,0
"jenkins.model.ModelObjectWithContextMenu",190,1,0,1,0,110,1,1,1,0
"jenkins.agents.WebSocketAgents",112,10,7,1,0,99,34,1,2,14
"jenkins.fingerprints.FingerprintStorageDescriptor",5,1,0,1,0,3,3,1,1,0
"jenkins.model.ModelObjectWithChildren",3,1,0,1,0,0,1,1,1,0
"jenkins.model.GlobalBuildDiscarderConfiguration",25,6,1,2,0,9,9,3,5,0
"jenkins.telemetry.impl.StaplerDispatches",34,6,1,1,0,12,13,3,5,0
"jenkins.security.apitoken.ApiTokenStats",196,43,29,0,0,89,46,2,19,5
"jenkins.security.UpdateSiteWarningsConfiguration",53,15,10,2,0,32,24,2,8,0
"jenkins.views.JenkinsHeader",5,1,0,2,0,0,1,1,1,0
"jenkins.util.BuildListenerAdapter",34,11,2,0,0,9,7,1,9,0
"jenkins.model.GlobalConfiguration",18,5,0,1,17,10,8,1,5,0
"jenkins.telemetry.Telemetry",97,15,7,0,5,78,25,1,9,1
"jenkins.MasterToSlaveFileCallable",6,1,0,0,0,2,2,1,1,0
"jenkins.security.SlaveToMasterCallable",6,1,0,0,0,2,2,1,1,0
"jenkins.fingerprints.GlobalFingerprintConfiguration",33,8,0,2,0,10,14,4,8,0
"jenkins.security.csrf.CSRFAdministrativeMonitor",11,3,0,1,0,3,6,3,3,0
"jenkins.ExtensionComponentSet",41,8,4,0,0,18,11,3,5,0
"jenkins.model.GlobalQuietPeriodConfiguration",21,5,2,2,0,9,8,1,3,0
"jenkins.util.ProgressiveRendering",151,39,36,0,1,82,42,1,12,0
"jenkins.util.FullDuplexHttpService",89,10,6,0,0,52,16,1,4,0
"jenkins.management.PluginsLink",63,17,9,1,0,19,20,4,7,0
"jenkins.model.item_category.Category",34,7,0,0,0,17,6,1,7,0
"jenkins.diagnosis.HsErrPidFile",33,8,0,0,0,21,17,1,8,0
"jenkins.diagnostics.RootUrlNotSetMonitor",16,5,1,1,0,8,8,3,4,0
"jenkins.security.seed.UserSeedProperty",58,5,1,1,0,32,8,1,4,0
"jenkins.telemetry.impl.SecuritySystemProperties",60,10,2,1,0,23,22,6,8,0
"jenkins.mvn.DefaultGlobalSettingsProvider",12,2,0,2,0,1,1,2,2,0
"jenkins.websocket.WebSocketEcho",24,5,4,1,0,8,10,2,2,0
"jenkins.security.ConfidentialStore",68,12,12,0,1,46,14,2,5,2
"jenkins.security.apitoken.TokenUuidAndPlainValue",8,1,0,0,0,2,0,1,1,0
"jenkins.management.ConsoleLink",20,6,0,1,0,4,8,5,6,0
"jenkins.util.TimeDuration",45,10,4,0,0,18,13,3,6,0
"jenkins.UserAgentURLConnectionDecorator",12,4,2,1,0,3,4,2,2,0
"jenkins.model.DefaultSimplePageDecorator",0,0,0,2,0,0,0,0,0,0
"jenkins.security.BasicHeaderProcessor",70,20,19,0,1,30,26,4,9,0
"jenkins.util.JenkinsJVM",22,7,2,0,0,8,5,2,5,0
"jenkins.security.CryptoConfidentialKey",72,17,10,1,0,28,15,3,9,0
"jenkins.security.RedactSecretJsonInErrorMessageSanitizer",60,18,19,0,0,30,20,2,6,2
"jenkins.security.ImpersonatingScheduledExecutorService",28,4,0,2,0,8,6,1,4,0
"jenkins.model.identity.InstanceIdentityProvider",131,6,2,0,0,62,4,1,4,1
"jenkins.management.NodesLink",20,6,0,1,0,4,8,5,6,0
"jenkins.util.java.JavaUtils",19,5,0,0,0,8,9,4,5,0
