"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"jenkins.security.CustomClassFilter://permits$[64:4,66:4]",3,1,0,1,0
"jenkins.security.CustomClassFilter://permits$[75:4,77:4]",3,1,0,1,0
"jenkins.agents.AgentComputerUtil://AgentComputerUtil.constructor$[34:12,35:4]",2,1,0,0,0
"jenkins.agents.AgentComputerUtil://getChannelToController$[47:18,59:4]",10,4,3,0,0
"jenkins.agents.AgentComputerUtil://getChannelToMaster$[67:18,69:4]",3,1,0,0,0
"jenkins.model.ModelObjectWithContextMenu://doContextMenu$[60:4,60:96]",1,1,0,2,0
"jenkins.agents.WebSocketAgents://getUrlName$[69:11,71:4]",3,2,1,0,0
"jenkins.agents.WebSocketAgents://doIndex$[73:11,113:4]",39,8,6,2,6
"jenkins.fingerprints.FingerprintStorageDescriptor://all$[36:18,38:4]",3,1,0,0,0
"jenkins.model.ModelObjectWithChildren://doChildrenContextMenu$[23:4,23:104]",1,1,0,2,0
"jenkins.model.GlobalBuildDiscarderConfiguration://get$[47:18,49:4]",3,1,0,0,0
"jenkins.model.GlobalBuildDiscarderConfiguration://GlobalBuildDiscarderConfiguration.constructor$[51:11,53:4]",3,1,0,0,0
"jenkins.model.GlobalBuildDiscarderConfiguration://readResolve$[58:12,61:4]",4,1,0,0,0
"jenkins.model.GlobalBuildDiscarderConfiguration://getConfiguredBuildDiscarders$[63:11,65:4]",3,1,0,0,0
"jenkins.model.GlobalBuildDiscarderConfiguration://configure$[68:11,75:4]",8,2,1,2,0
"jenkins.telemetry.impl.StaplerDispatches://getStart$[51:11,53:4]",3,1,0,0,0
"jenkins.telemetry.impl.StaplerDispatches://getEnd$[57:11,59:4]",3,1,0,0,0
"jenkins.telemetry.impl.StaplerDispatches://getDisplayName$[63:11,65:4]",3,1,0,0,0
"jenkins.telemetry.impl.StaplerDispatches://createContent$[68:11,77:4]",9,2,1,0,0
"jenkins.telemetry.impl.StaplerDispatches://buildDispatches$[79:12,83:4]",5,1,0,0,0
"jenkins.security.apitoken.ApiTokenStats://ApiTokenStats.constructor$[67:4,69:4]",3,1,0,0,0
"jenkins.security.apitoken.ApiTokenStats://readResolve$[71:12,74:4]",4,1,0,0,0
"jenkins.security.apitoken.ApiTokenStats://init$[76:12,82:4]",7,3,2,0,0
"jenkins.security.apitoken.ApiTokenStats://keepLastUpdatedUnique$[87:12,103:4]",6,4,6,0,11
"jenkins.security.apitoken.ApiTokenStats://setParent$[112:4,114:4]",3,1,0,1,0
"jenkins.security.apitoken.ApiTokenStats://areStatsDisabled$[116:12,118:4]",3,1,0,0,0
"jenkins.security.apitoken.ApiTokenStats://removeId$[123:24,132:4]",9,3,2,1,1
"jenkins.security.apitoken.ApiTokenStats://removeAll$[137:24,143:4]",7,2,1,0,0
"jenkins.security.apitoken.ApiTokenStats://removeAllExcept$[145:24,152:4]",8,2,1,1,1
"jenkins.security.apitoken.ApiTokenStats://updateUsageForId$[157:20,163:4]",6,2,1,1,0
"jenkins.security.apitoken.ApiTokenStats://updateUsageForIdIfNeeded$[167:25,179:4]",8,1,0,1,5
"jenkins.security.apitoken.ApiTokenStats://findTokenStatsById$[181:33,189:4]",7,2,1,1,0
"jenkins.security.apitoken.ApiTokenStats://findById$[191:21,195:4]",5,1,0,1,1
"jenkins.security.apitoken.ApiTokenStats://save$[201:24,226:4]",18,5,4,0,0
"jenkins.security.apitoken.ApiTokenStats://getUserFolder$[228:26,240:4]",12,4,4,0,0
"jenkins.security.apitoken.ApiTokenStats://load$[253:27,268:4]",11,3,2,1,0
"jenkins.security.apitoken.ApiTokenStats://load$[275:27,293:4]",12,3,2,1,0
"jenkins.security.apitoken.ApiTokenStats://internalLoad$[296:25,309:4]",13,3,3,1,0
"jenkins.security.apitoken.ApiTokenStats://getConfigFile$[311:30,313:4]",3,1,0,1,0
"jenkins.security.UpdateSiteWarningsConfiguration://getCategory$[59:20,61:4]",3,1,0,0,0
"jenkins.security.UpdateSiteWarningsConfiguration://getIgnoredWarnings$[64:11,66:4]",3,1,0,0,0
"jenkins.security.UpdateSiteWarningsConfiguration://setIgnoredWarnings$[69:11,71:4]",3,1,0,1,0
"jenkins.security.UpdateSiteWarningsConfiguration://isIgnored$[73:11,75:4]",3,1,0,1,0
"jenkins.security.UpdateSiteWarningsConfiguration://getPlugin$[78:11,83:4]",6,2,1,1,0
"jenkins.security.UpdateSiteWarningsConfiguration://getAllWarnings$[86:11,96:4]",10,3,3,0,0
"jenkins.security.UpdateSiteWarningsConfiguration://getApplicableWarnings$[99:11,110:4]",10,3,3,0,0
"jenkins.security.UpdateSiteWarningsConfiguration://configure$[114:11,125:4]",12,3,3,2,0
"jenkins.views.JenkinsHeader://isEnabled$[14:11,16:4]",3,1,0,0,0
"jenkins.util.BuildListenerAdapter://BuildListenerAdapter.constructor$[43:11,45:4]",3,1,0,1,0
"jenkins.util.BuildListenerAdapter://getLogger$[47:21,49:4]",3,1,0,0,0
"jenkins.util.BuildListenerAdapter://annotate$[52:21,54:4]",3,1,0,1,0
"jenkins.util.BuildListenerAdapter://hyperlink$[56:21,58:4]",3,1,0,2,0
"jenkins.util.BuildListenerAdapter://error$[60:21,62:4]",3,1,0,1,0
"jenkins.util.BuildListenerAdapter://error$[64:21,66:4]",3,1,0,2,0
"jenkins.util.BuildListenerAdapter://fatalError$[68:21,70:4]",3,1,0,1,0
"jenkins.util.BuildListenerAdapter://fatalError$[72:21,74:4]",3,1,0,2,0
"jenkins.util.BuildListenerAdapter://wrap$[76:18,82:4]",7,3,2,1,0
"jenkins.model.GlobalConfiguration://GlobalConfiguration.constructor$[46:14,48:4]",3,1,0,0,0
"jenkins.model.GlobalConfiguration://getDescriptor$[51:17,53:4]",3,1,0,0,0
"jenkins.model.GlobalConfiguration://getGlobalConfigPage$[56:11,58:4]",3,1,0,0,0
"jenkins.model.GlobalConfiguration://configure$[66:11,69:4]",4,1,0,2,0
"jenkins.model.GlobalConfiguration://all$[74:27,77:4]",3,1,0,0,0
"jenkins.telemetry.Telemetry://getId$[87:11,89:4]",3,1,0,0,0
"jenkins.telemetry.Telemetry://getDisplayName$[97:20,97:43]",1,1,0,0,0
"jenkins.telemetry.Telemetry://getStart$[107:20,107:40]",1,1,0,0,0
"jenkins.telemetry.Telemetry://getEnd$[117:20,117:38]",1,1,0,0,0
"jenkins.telemetry.Telemetry://createContent$[127:20,127:46]",1,1,0,0,0
"jenkins.telemetry.Telemetry://all$[129:18,131:4]",3,1,0,0,0
"jenkins.telemetry.Telemetry://isDisabled$[137:18,144:4]",7,3,2,0,0
"jenkins.telemetry.Telemetry://isActivePeriod$[152:11,155:4]",4,2,1,0,0
"jenkins.telemetry.Telemetry://buildComponentInformation$[163:20,173:4]",11,4,4,0,0
"jenkins.MasterToSlaveFileCallable://checkRoles$[21:11,23:4]",3,1,0,1,0
"jenkins.security.SlaveToMasterCallable://checkRoles$[14:11,16:4]",3,1,0,1,0
"jenkins.fingerprints.GlobalFingerprintConfiguration://GlobalFingerprintConfiguration.constructor$[48:11,50:4]",3,1,0,0,0
"jenkins.fingerprints.GlobalFingerprintConfiguration://get$[52:18,54:4]",3,1,0,0,0
"jenkins.fingerprints.GlobalFingerprintConfiguration://getStorage$[56:11,58:4]",3,1,0,0,0
"jenkins.fingerprints.GlobalFingerprintConfiguration://setStorage$[61:11,65:4]",5,1,0,1,0
"jenkins.fingerprints.GlobalFingerprintConfiguration://isFingerprintCleanupDisabled$[67:11,69:4]",3,1,0,0,0
