"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"com.airbnb.lottie.animation.keyframe.PathKeyframeAnimation",31,6,5,0,0,14,9,2,2,0
"com.airbnb.lottie.manager.ImageAssetManager",107,26,21,0,0,57,27,1,7,0
"com.airbnb.lottie.model.content.GradientColor",52,13,6,0,0,35,10,1,7,0
"com.airbnb.lottie.parser.KeyframeParser",280,81,115,0,0,78,26,1,8,0
"com.airbnb.lottie.network.FileExtension",14,3,0,0,0,10,2,1,3,0
"com.airbnb.lottie.utils.LottieValueAnimator",232,78,53,2,0,80,53,3,33,0
"com.airbnb.lottie.parser.moshi.JsonEncodingException",5,1,0,1,0,0,0,1,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser",102,40,22,0,0,53,17,2,8,0
"com.airbnb.lottie.parser.FloatParser",8,2,0,0,0,3,2,2,2,0
"com.airbnb.lottie.model.animatable.AnimatablePathValue",18,6,2,0,0,8,7,1,4,0
"com.airbnb.lottie.parser.KeyframesParser",55,18,27,0,0,30,13,2,3,0
"com.airbnb.lottie.OnCompositionLoadedListener",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.LottieComposition",192,30,4,0,0,65,40,5,27,0
"com.airbnb.lottie.model.CubicCurveData",42,10,0,0,0,31,10,1,10,0
"com.airbnb.lottie.utils.Logger",21,6,0,0,0,38,4,1,6,0
"com.airbnb.lottie.model.animatable.AnimatableIntegerValue",8,2,0,0,0,1,2,1,2,0
"com.airbnb.lottie.LottieLogger",7,5,0,0,0,0,3,3,5,0
"com.airbnb.lottie.network.NetworkFetcher",103,31,23,0,0,58,27,1,7,0
"com.airbnb.lottie.model.content.ShapePath",29,6,0,0,0,5,6,1,6,0
"com.airbnb.lottie.model.animatable.AnimatableColorValue",8,2,0,0,0,1,2,1,2,0
"com.airbnb.lottie.animation.content.RepeaterContent",96,21,12,0,0,72,31,1,10,0
"com.airbnb.lottie.animation.content.TrimPathContent",51,11,1,0,0,26,12,3,10,0
"com.airbnb.lottie.animation.content.DrawingContent",4,2,0,1,0,0,2,2,2,0
"com.airbnb.lottie.model.content.GradientFill",55,10,0,0,0,11,10,1,10,0
"com.airbnb.lottie.animation.content.RectangleContent",123,25,18,0,0,95,25,1,8,0
"com.airbnb.lottie.parser.ShapeDataParser",68,15,9,0,0,43,19,2,2,0
"com.airbnb.lottie.model.animatable.AnimatableTransform",62,13,0,0,0,10,12,2,13,0
"com.airbnb.lottie.animation.keyframe.ScaleKeyframeAnimation",26,6,5,0,0,16,9,2,2,0
"com.airbnb.lottie.model.DocumentData",57,4,0,0,0,25,4,2,4,0
"com.airbnb.lottie.model.layer.SolidLayer",63,11,8,1,0,42,20,1,4,0
"com.airbnb.lottie.model.content.ShapeTrimPath",55,9,0,0,0,13,9,1,9,0
"com.airbnb.lottie.LottieOnCompositionLoadedListener",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.animation.content.ShapeModifierContent",3,1,0,1,0,0,1,1,1,0
"com.airbnb.lottie.model.content.GradientType",4,0,0,0,0,2,0,0,0,0
"com.airbnb.lottie.parser.FontParser",33,7,2,0,0,7,6,2,2,0
"com.airbnb.lottie.animation.keyframe.ColorKeyframeAnimation",24,8,5,0,0,12,10,3,4,0
"com.airbnb.lottie.animation.keyframe.PathKeyframe",20,8,3,0,0,15,3,1,3,0
"com.airbnb.lottie.parser.IntegerParser",8,2,0,0,0,4,3,2,2,0
"com.airbnb.lottie.animation.content.GreedyContent",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.parser.AnimatableTextPropertiesParser",53,11,5,0,0,14,7,2,3,0
"com.airbnb.lottie.animation.content.FillContent",141,41,38,0,0,99,37,1,8,0
"com.airbnb.lottie.parser.DocumentDataParser",71,16,2,0,0,10,6,2,2,0
"com.airbnb.lottie.parser.CircleShapeParser",36,8,2,0,0,5,4,2,2,0
"com.airbnb.lottie.LottieAnimationView",594,164,70,1,0,342,141,1,102,3
"com.airbnb.lottie.parser.AnimatablePathValueParser",62,16,16,0,0,26,18,2,3,0
"com.airbnb.lottie.value.LottieInterpolatedIntegerValue",11,3,0,0,0,1,2,1,3,0
"com.airbnb.lottie.animation.keyframe.BaseKeyframeAnimation",235,37,21,0,0,76,30,1,16,0
"com.airbnb.lottie.parser.moshi.JsonUtf8Reader",781,272,222,1,0,208,56,1,31,0
"com.airbnb.lottie.model.layer.CompositionLayer",171,53,60,1,0,98,42,1,10,0
"com.airbnb.lottie.value.LottieFrameInfo",48,8,0,0,0,7,8,1,8,0
"com.airbnb.lottie.ImageAssetDelegate",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.model.animatable.AnimatableSplitDimensionPathValue",20,5,1,0,0,8,5,2,4,0
"com.airbnb.lottie.parser.ShapeTrimPathParser",40,9,2,0,0,4,4,2,2,0
"com.airbnb.lottie.model.LottieCompositionCache",27,8,2,0,0,13,6,3,6,0
"com.airbnb.lottie.utils.LogcatLogger",26,8,3,0,0,11,7,1,5,0
"com.airbnb.lottie.model.animatable.AnimatableGradientColorValue",39,11,6,0,0,31,14,1,5,0
"com.airbnb.lottie.parser.PolystarShapeParser",62,14,2,0,0,5,4,2,2,0
"com.airbnb.lottie.model.content.RoundedCorners",17,4,0,0,0,3,4,1,4,0
"com.airbnb.lottie.animation.keyframe.GradientColorKeyframeAnimation",13,3,1,0,0,8,2,1,2,0
"com.airbnb.lottie.model.KeyPath",114,44,28,0,0,56,18,1,15,0
"com.airbnb.lottie.Cancellable",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.model.animatable.AnimatableScaleValue",11,3,0,0,0,1,2,1,3,0
"com.airbnb.lottie.animation.content.KeyPathElementContent",0,0,0,1,0,0,0,0,0,0
"com.airbnb.lottie.parser.PointFParser",21,7,6,0,0,15,7,2,2,0
"com.airbnb.lottie.model.content.PolystarShape",82,13,0,0,0,18,13,1,13,0
"com.airbnb.lottie.parser.RectangleShapeParser",37,8,2,0,0,5,4,2,2,0
"com.airbnb.lottie.animation.keyframe.ShapeKeyframeAnimation",24,5,3,0,0,11,7,2,3,0
"com.airbnb.lottie.model.FontCharacter",32,5,0,0,0,12,4,1,5,0
"com.airbnb.lottie.LottieListener",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.LottieTaskIdleListener",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.value.LottieInterpolatedFloatValue",11,3,0,0,0,1,2,1,3,0
"com.airbnb.lottie.model.animatable.AnimatableValue",5,3,0,0,0,0,3,3,3,0
"com.airbnb.lottie.model.layer.NullLayer",11,3,0,1,0,2,3,3,3,0
"com.airbnb.lottie.model.content.Mask",30,5,0,0,0,5,4,1,5,0
"com.airbnb.lottie.parser.moshi.JsonScope",36,12,5,0,0,24,4,2,2,0
"com.airbnb.lottie.parser.moshi.LinkedHashTreeMap",572,109,133,0,0,270,45,3,24,0
"com.airbnb.lottie.value.Keyframe",143,28,13,0,0,59,13,3,15,0
"com.airbnb.lottie.animation.keyframe.SplitDimensionPathKeyframeAnimation",80,21,21,0,0,49,12,1,6,0
"com.airbnb.lottie.animation.content.CompoundTrimPathContent",11,3,1,0,0,5,6,1,2,0
"com.airbnb.lottie.animation.content.ContentGroup",198,58,58,0,0,100,42,1,16,0
"com.airbnb.lottie.animation.content.StrokeContent",49,11,9,1,0,32,12,1,4,0
"com.airbnb.lottie.model.Marker",26,7,2,0,0,12,8,1,5,0
"com.airbnb.lottie.model.animatable.AnimatableShapeValue",8,2,0,0,0,1,2,1,2,0
"com.airbnb.lottie.model.layer.ImageLayer",77,22,19,1,0,43,21,1,5,0
"com.airbnb.lottie.animation.content.BaseStrokeContent",309,87,101,0,2,225,57,1,9,0
"com.airbnb.lottie.parser.ShapeGroupParser",28,6,2,0,0,6,5,2,2,0
"com.airbnb.lottie.model.animatable.AnimatablePointValue",8,2,0,0,0,1,2,1,2,0
"com.airbnb.lottie.model.content.ContentModel",3,1,0,0,0,0,1,1,1,0
"com.airbnb.lottie.parser.MaskParser",41,11,3,0,0,5,6,2,2,0
"com.airbnb.lottie.manager.FontAssetManager",84,22,19,0,0,48,16,1,6,0
"com.airbnb.lottie.animation.keyframe.DropShadowKeyframeAnimation",74,11,3,0,0,51,16,1,8,0
"com.airbnb.lottie.network.DefaultLottieFetchResult",47,12,5,0,0,19,20,1,7,0
"com.airbnb.lottie.parser.ShapePathParser",32,7,2,0,0,5,4,2,2,0
"com.airbnb.lottie.animation.content.Content",4,2,0,0,3,0,2,2,2,0
"com.airbnb.lottie.L",107,26,21,0,0,116,20,3,11,0
"com.airbnb.lottie.animation.keyframe.IntegerKeyframeAnimation",25,8,5,0,0,11,11,3,4,0
"com.airbnb.lottie.animation.content.GradientFillContent",243,59,59,0,0,175,50,1,12,0
"com.airbnb.lottie.RenderMode",21,7,5,0,0,8,1,1,1,0
"com.airbnb.lottie.model.content.ShapeStroke",92,12,0,0,0,11,12,1,12,0
"com.airbnb.lottie.value.LottieRelativePointValueCallback",30,5,1,0,0,18,9,3,4,0
"com.airbnb.lottie.LottieTask",96,24,17,0,0,36,18,1,10,1
"com.airbnb.lottie.utils.MiscUtils",70,22,10,0,0,102,31,4,13,0
"com.airbnb.lottie.model.animatable.BaseAnimatableValue",22,8,3,0,0,14,9,4,5,0
"com.airbnb.lottie.parser.FontCharacterParser",43,9,2,0,0,11,7,2,2,0
"com.airbnb.lottie.value.LottieRelativeIntegerValueCallback",18,3,1,0,0,5,7,2,2,0
"com.airbnb.lottie.animation.LPaint",26,8,2,1,0,7,5,3,6,0
"com.airbnb.lottie.model.Font",31,7,0,0,0,5,6,1,7,0
"com.airbnb.lottie.parser.GradientStrokeParser",76,17,6,0,0,14,8,2,2,0
"com.airbnb.lottie.model.content.BlurEffect",9,2,0,0,0,1,1,1,2,0
