"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"com.airbnb.lottie.animation.keyframe.PathKeyframeAnimation://PathKeyframeAnimation.constructor$[17:9,19:2]",3,1,0,1,0
"com.airbnb.lottie.animation.keyframe.PathKeyframeAnimation://getValue$[21:19,45:2]",22,5,5,2,0
"com.airbnb.lottie.manager.ImageAssetManager://ImageAssetManager.constructor$[27:9,42:2]",15,5,4,4,0
"com.airbnb.lottie.manager.ImageAssetManager://setDelegate$[44:9,46:2]",3,1,0,1,0
"com.airbnb.lottie.manager.ImageAssetManager://updateBitmap$[51:19,61:2]",11,2,1,2,0
"com.airbnb.lottie.manager.ImageAssetManager://getImageAssetById$[63:19,65:2]",3,1,0,1,0
"com.airbnb.lottie.manager.ImageAssetManager://bitmapForId$[67:19,134:2]",57,13,14,1,0
"com.airbnb.lottie.manager.ImageAssetManager://hasSameContext$[136:9,138:2]",3,3,2,1,0
"com.airbnb.lottie.manager.ImageAssetManager://putBitmap$[140:10,145:2]",6,1,0,2,0
"com.airbnb.lottie.model.content.GradientColor://GradientColor.constructor$[13:9,16:2]",4,1,0,2,0
"com.airbnb.lottie.model.content.GradientColor://getPositions$[18:9,20:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.GradientColor://getColors$[22:9,24:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.GradientColor://getSize$[26:9,28:2]",3,1,0,0,0
"com.airbnb.lottie.model.content.GradientColor://lerp$[30:9,40:2]",10,3,2,3,0
"com.airbnb.lottie.model.content.GradientColor://copyWithPositions$[42:9,48:2]",7,2,1,1,0
"com.airbnb.lottie.model.content.GradientColor://getColorForPosition$[50:10,69:2]",18,4,3,1,0
"com.airbnb.lottie.parser.KeyframeParser://pathInterpolatorCache$[48:17,53:2]",6,2,1,0,0
"com.airbnb.lottie.parser.KeyframeParser://getInterpolator$[56:17,62:2]",5,1,0,1,0
"com.airbnb.lottie.parser.KeyframeParser://putInterpolator$[64:17,70:2]",5,1,0,2,0
"com.airbnb.lottie.parser.KeyframeParser://parse$[75:13,85:2]",10,5,4,6,0
"com.airbnb.lottie.parser.KeyframeParser://parseKeyframe$[91:21,154:2]",48,14,6,4,0
"com.airbnb.lottie.parser.KeyframeParser://parseMultiDimensionalKeyframe$[156:21,328:2]",151,47,89,4,0
"com.airbnb.lottie.parser.KeyframeParser://interpolatorFor$[330:17,367:2]",30,10,15,2,0
"com.airbnb.lottie.parser.KeyframeParser://parseStaticValue$[369:21,373:2]",5,1,0,3,0
"com.airbnb.lottie.network.FileExtension://FileExtension.constructor$[15:2,17:2]",3,1,0,1,0
"com.airbnb.lottie.network.FileExtension://tempExtension$[19:9,21:2]",3,1,0,0,0
"com.airbnb.lottie.network.FileExtension://toString$[23:19,25:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://LottieValueAnimator.constructor$[33:9,34:2]",2,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getAnimatedValue$[40:19,42:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getAnimatedValueAbsolute$[48:41,54:2]",6,2,1,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getAnimatedFraction$[60:51,69:2]",10,4,3,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getDuration$[71:19,73:2]",3,2,1,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getFrame$[75:9,77:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://isRunning$[79:19,81:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://setUseCompositionFrameRate$[83:9,85:2]",3,1,0,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://doFrame$[87:19,131:2]",40,16,23,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://getFrameDurationNs$[133:10,138:2]",6,2,1,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://clearComposition$[140:9,144:2]",5,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://setComposition$[146:9,164:2]",17,3,2,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://setFrame$[166:9,174:2]",9,3,2,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://setMinFrame$[176:9,178:2]",3,1,0,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://setMaxFrame$[180:9,182:2]",3,1,0,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://setMinAndMaxFrames$[184:9,197:2]",14,6,5,2,0
"com.airbnb.lottie.utils.LottieValueAnimator://reverseAnimationSpeed$[199:9,201:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://setSpeed$[203:9,205:2]",3,1,0,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://getSpeed$[210:9,212:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://setRepeatMode$[214:19,220:2]",7,3,2,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://playAnimation$[223:9,230:2]",8,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://endAnimation$[233:9,236:2]",4,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://pauseAnimation$[239:9,242:2]",4,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://resumeAnimation$[245:9,255:2]",11,5,4,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://cancel$[258:19,261:2]",4,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://isReversed$[263:10,265:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getMinFrame$[267:9,272:2]",6,3,2,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://getMaxFrame$[274:9,279:2]",6,3,2,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://notifyCancel$[281:12,284:2]",4,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://postFrameCallback$[286:12,291:2]",6,2,1,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://removeFrameCallback$[294:12,296:2]",3,1,0,0,0
"com.airbnb.lottie.utils.LottieValueAnimator://removeFrameCallback$[299:12,304:2]",6,2,1,1,0
"com.airbnb.lottie.utils.LottieValueAnimator://verifyFrame$[306:10,313:2]",8,4,3,0,0
"com.airbnb.lottie.parser.moshi.JsonEncodingException://JsonEncodingException.constructor$[27:2,29:2]",3,1,0,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://AnimatableTransformParser.constructor$[20:10,21:2]",2,1,0,0,0
"com.airbnb.lottie.parser.AnimatableTransformParser://parse$[38:16,140:2]",65,20,10,2,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isAnchorPointIdentity$[142:17,144:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isPositionIdentity$[146:17,150:2]",5,4,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isRotationIdentity$[152:17,154:2]",3,3,2,1,0
"com.airbnb.lottie.parser.AnimatableTransformParser://isScaleIdentity$[156:17,158:2]",3,3,2,1,0
