"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.mockito.internal.util.MockNameImpl",36,11,6,0,0,18,9,3,6,0
"org.mockito.internal.junit.TestFinishedEvent",4,2,0,0,0,0,2,2,2,0
"org.mockito.internal.invocation.InvocationsFinder",125,41,37,0,0,40,28,2,14,0
"org.mockito.listeners.MockCreationListener",4,2,0,1,1,0,2,2,2,0
"org.mockito.exceptions.misusing.CannotStubVoidMethodWithReturnValue",5,1,0,1,0,0,0,1,1,0
"org.mockito.internal.progress.SequenceNumber",7,2,0,0,0,1,1,2,2,0
"org.mockito.exceptions.misusing.DoNotMockException",5,1,0,1,0,0,0,1,1,0
"org.mockito.internal.progress.ThreadSafeMockingProgress",12,2,0,0,0,3,2,2,2,0
"org.mockito.AdditionalAnswers",60,20,0,0,0,0,10,9,20,0
"org.mockito.exceptions.misusing.FriendlyReminderException",6,1,0,1,0,0,0,1,1,0
"org.mockito.exceptions.verification.VerificationInOrderFailure",6,1,0,1,0,0,0,1,1,0
"org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker",138,26,13,0,0,56,41,2,12,0
"org.mockito.internal.matchers.Equals",38,17,6,0,1,14,13,3,10,0
"org.mockito.internal.util.reflection.SuperTypesLastSorter",30,8,10,0,0,15,9,2,2,1
"org.mockito.stubbing.VoidAnswer4",3,1,0,0,0,0,1,1,1,0
"org.mockito.mock.MockName",4,2,0,0,0,0,2,2,2,0
"org.mockito.internal.InOrderImpl",68,19,11,0,0,30,18,2,9,0
"org.mockito.internal.util.StringUtil",46,14,8,0,0,22,16,3,7,0
"org.mockito.mock.MockCreationSettings",20,18,0,0,0,0,18,18,18,0
"org.mockito.internal.session.DefaultMockitoSessionBuilder",53,15,12,0,0,28,16,1,6,0
"org.mockito.internal.stubbing.InvocationContainerImpl",118,29,13,0,0,49,46,1,19,0
"org.mockito.internal.verification.SingleRegisteredInvocation",18,5,0,0,0,4,6,2,5,0
"org.mockito.internal.stubbing.defaultanswers.TriesToReturnSelf",12,3,2,0,0,10,9,1,1,0
