"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.mockito.internal.util.MockNameImpl://MockNameImpl.constructor$[18:11,25:4]",8,4,4,3,0
"org.mockito.internal.util.MockNameImpl://MockNameImpl.constructor$[27:11,29:4]",3,1,0,1,0
"org.mockito.internal.util.MockNameImpl://toInstanceName$[31:19,39:4]",7,2,1,1,0
"org.mockito.internal.util.MockNameImpl://toClassName$[41:19,48:4]",7,2,1,1,0
"org.mockito.internal.util.MockNameImpl://isDefault$[51:11,53:4]",3,1,0,0,0
"org.mockito.internal.util.MockNameImpl://toString$[56:11,58:4]",3,1,0,0,0
"org.mockito.internal.junit.TestFinishedEvent://getFailure$[9:4,9:26]",1,1,0,0,0
"org.mockito.internal.junit.TestFinishedEvent://getTestName$[11:4,11:24]",1,1,0,0,0
"org.mockito.internal.invocation.InvocationsFinder://InvocationsFinder.constructor$[18:12,18:33]",1,1,0,0,0
"org.mockito.internal.invocation.InvocationsFinder://findInvocations$[20:18,23:4]",4,1,0,2,0
"org.mockito.internal.invocation.InvocationsFinder://findAllMatchingUnverifiedChunks$[25:18,31:4]",5,1,0,3,0
"org.mockito.internal.invocation.InvocationsFinder://findMatchingChunk$[48:18,61:4]",10,3,2,4,0
"org.mockito.internal.invocation.InvocationsFinder://getFirstMatchingChunk$[63:19,74:4]",12,4,4,2,0
"org.mockito.internal.invocation.InvocationsFinder://findFirstMatchingUnverifiedInvocation$[76:18,84:4]",9,3,3,3,0
"org.mockito.internal.invocation.InvocationsFinder://findSimilarInvocation$[86:18,102:4]",16,5,7,2,0
"org.mockito.internal.invocation.InvocationsFinder://findFirstUnverified$[104:18,106:4]",3,1,0,1,0
"org.mockito.internal.invocation.InvocationsFinder://findFirstUnverified$[108:11,116:4]",9,5,5,2,0
"org.mockito.internal.invocation.InvocationsFinder://getLastLocation$[118:18,125:4]",8,3,2,1,0
"org.mockito.internal.invocation.InvocationsFinder://findPreviousVerifiedInOrder$[127:18,137:4]",9,3,2,2,0
"org.mockito.internal.invocation.InvocationsFinder://removeVerifiedInOrder$[139:19,150:4]",12,4,4,2,0
"org.mockito.internal.invocation.InvocationsFinder://getAllLocations$[152:18,158:4]",7,2,1,1,0
"org.mockito.internal.invocation.InvocationsFinder://findFirstUnverifiedInOrder$[174:18,185:4]",12,5,7,2,0
"org.mockito.listeners.MockCreationListener://onMockCreated$[21:4,21:66]",1,1,0,2,0
"org.mockito.listeners.MockCreationListener://onStaticMockCreated$[29:4,29:84]",1,1,0,2,0
"org.mockito.exceptions.misusing.CannotStubVoidMethodWithReturnValue://CannotStubVoidMethodWithReturnValue.constructor$[10:11,12:4]",3,1,0,1,0
"org.mockito.internal.progress.SequenceNumber://next$[11:31,13:4]",3,1,0,0,0
"org.mockito.internal.progress.SequenceNumber://SequenceNumber.constructor$[15:12,15:30]",1,1,0,0,0
"org.mockito.exceptions.misusing.DoNotMockException://DoNotMockException.constructor$[13:11,15:4]",3,1,0,1,0
"org.mockito.internal.progress.ThreadSafeMockingProgress://ThreadSafeMockingProgress.constructor$[20:12,20:41]",1,1,0,0,0
"org.mockito.internal.progress.ThreadSafeMockingProgress://mockingProgress$[29:24,31:4]",3,1,0,0,0
"org.mockito.AdditionalAnswers://returnsFirstArg$[87:22,89:4]",3,1,0,0,0
"org.mockito.AdditionalAnswers://returnsSecondArg$[135:22,137:4]",3,1,0,0,0
"org.mockito.AdditionalAnswers://returnsLastArg$[183:22,185:4]",3,1,0,0,0
"org.mockito.AdditionalAnswers://returnsArgAt$[232:22,234:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://delegatesTo$[298:22,300:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://returnsElementsOf$[319:22,321:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://answersWithDelay$[333:22,335:4]",3,1,0,2,0
"org.mockito.AdditionalAnswers://answer$[346:25,348:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://answerVoid$[358:22,360:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://answer$[372:28,374:4]",3,1,0,1,0
"org.mockito.AdditionalAnswers://answerVoid$[385:25,387:4]",3,1,0,1,0
