"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"io.reactivex.rxjava3.internal.operators.flowable.FlowableEmpty",11,3,0,1,0,2,3,3,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounceTimed",132,2,0,2,0,53,5,1,2,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnTerminate",49,2,0,1,0,19,3,1,2,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler",41,6,0,1,0,12,5,4,6,0
"io.reactivex.rxjava3.core.FlowableTransformer",3,1,0,0,0,0,1,1,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounce",124,2,0,2,0,45,4,1,2,0
"io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapSingle",182,2,0,1,0,67,3,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableThrottleFirstTimed",90,2,0,2,0,35,5,1,2,0
"io.reactivex.rxjava3.internal.operators.mixed.SingleFlatMapObservable",54,2,0,1,0,19,4,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDoOnEach",106,2,0,2,0,38,3,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableScalarXMap",148,11,16,0,0,49,14,2,3,0
"io.reactivex.rxjava3.core.ObservableSource",3,1,0,0,0,4,1,1,1,0
"io.reactivex.rxjava3.core.FlowableSubscriber",3,1,0,0,1,0,1,1,1,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnEvent",64,2,0,2,0,32,3,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableSwitchIfEmpty",44,2,0,2,0,18,4,1,2,0
"io.reactivex.rxjava3.internal.util.HalfSerializer",51,19,16,0,0,70,9,2,7,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableHide",36,2,0,2,0,12,3,1,2,0
"io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletable",138,3,1,1,0,53,4,1,2,0
"io.reactivex.rxjava3.internal.util.ListAddBiConsumer",10,2,0,0,0,3,3,2,2,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatArray",95,2,0,1,0,39,4,1,2,0
"io.reactivex.rxjava3.processors.BehaviorProcessor",315,53,43,2,0,121,41,1,21,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableBufferExactBoundary",126,2,0,2,0,50,4,1,2,0
"io.reactivex.rxjava3.internal.operators.single.SingleUnsubscribeOn",45,2,0,1,0,16,3,1,2,0
"io.reactivex.rxjava3.internal.jdk8.ParallelFlatMapStream",27,5,2,1,0,9,3,1,3,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureDrop",75,4,0,2,0,25,4,2,4,0
"io.reactivex.rxjava3.internal.util.ErrorMode",5,0,0,0,0,84,0,0,0,0
"io.reactivex.rxjava3.subjects.PublishSubject",152,39,37,2,0,53,21,2,13,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableSkipLast",45,2,0,2,0,14,3,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableGenerate",135,3,1,1,0,47,6,1,2,0
"io.reactivex.rxjava3.internal.util.VolatileSizeArrayList",107,29,1,1,0,37,22,1,28,0
"io.reactivex.rxjava3.internal.subscribers.QueueDrainSubscriberPad4",4,0,0,4,1,0,0,0,0,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeOnErrorNext",70,2,0,2,0,27,3,1,2,0
"io.reactivex.rxjava3.observers.DisposableCompletableObserver",16,5,1,0,0,6,7,1,4,0
"io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapMaybePublisher",17,2,0,1,0,6,3,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableSingleSingle",78,3,0,1,0,38,6,1,3,0
"io.reactivex.rxjava3.internal.operators.single.SingleDematerialize",53,2,0,1,0,24,3,1,2,0
"io.reactivex.rxjava3.internal.operators.completable.CompletableFromSupplier",24,6,5,1,0,10,8,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableSampleTimed",125,4,2,2,0,40,5,1,2,0
"io.reactivex.rxjava3.internal.subscriptions.AsyncSubscription",35,9,0,0,0,15,12,1,9,0
"io.reactivex.rxjava3.internal.operators.single.SingleInternalHelper",50,4,0,0,0,24,4,4,4,0
"io.reactivex.rxjava3.internal.jdk8.FlowableLastStageSubscriber",27,8,5,2,0,7,9,2,4,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapCompletableCompletable",111,3,0,1,0,44,6,1,3,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableInternalHelper",197,13,0,0,0,80,21,6,13,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeFlatMapNotification",100,2,0,2,0,43,3,1,2,0
"io.reactivex.rxjava3.internal.operators.single.SingleToObservable",35,3,0,1,0,10,4,2,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableIntervalRange",63,4,2,1,0,23,7,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableError",16,3,1,1,0,7,5,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableWindowBoundarySelector",316,2,0,2,0,153,3,1,2,0
"io.reactivex.rxjava3.internal.observers.DisposableLambdaObserver",61,14,8,0,0,31,11,1,7,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeIgnoreElementCompletable",44,3,0,1,0,23,6,1,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapCompletable",118,2,0,2,0,41,3,1,2,0
"io.reactivex.rxjava3.core.Emitter",5,3,0,0,2,0,3,3,3,0
"io.reactivex.rxjava3.observers.DisposableObserver",16,5,1,0,0,6,7,3,4,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableFromAction",30,8,9,1,0,12,9,1,3,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableWithLatestFromMany",198,9,10,2,0,83,9,1,3,0
"io.reactivex.rxjava3.observers.SafeObserver",149,31,29,0,0,67,13,1,9,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableFromSupplier",26,6,4,1,0,13,9,1,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableTimer",39,2,0,1,0,14,5,1,2,0
"io.reactivex.rxjava3.core.MaybeOnSubscribe",3,1,0,0,0,0,1,1,1,0
"io.reactivex.rxjava3.core.BackpressureOverflowStrategy",5,0,0,0,0,0,0,0,0,0
"io.reactivex.rxjava3.internal.operators.single.SingleZipArray",122,6,6,1,0,50,9,1,2,0
"io.reactivex.rxjava3.internal.disposables.CancellableDisposable",22,6,6,1,0,3,7,3,3,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableDebounceTimed",147,2,0,2,0,60,5,1,2,0
"io.reactivex.rxjava3.internal.util.EndConsumerHelper",56,15,12,0,0,32,12,3,7,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableAllSingle",70,3,0,1,0,26,6,1,3,0
"io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableNext",101,2,0,0,0,40,3,1,2,0
"io.reactivex.rxjava3.disposables.Disposable",38,11,0,0,0,36,16,4,11,0
"io.reactivex.rxjava3.internal.operators.single.SingleOnErrorReturn",47,2,0,1,0,18,3,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableWindow",178,4,2,2,0,82,4,1,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableMapPublisher",11,2,0,1,0,4,3,1,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableAnySingle",69,3,0,1,0,26,6,1,3,0
"io.reactivex.rxjava3.internal.fuseable.HasUpstreamCompletableSource",3,1,0,0,0,0,1,1,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableSwitchIfEmpty",44,2,0,2,0,18,4,1,2,0
"io.reactivex.rxjava3.internal.jdk8.ObservableCollectWithCollectorSingle",93,4,1,1,0,47,11,1,3,0
