"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"io.reactivex.rxjava3.internal.operators.flowable.FlowableEmpty://FlowableEmpty.constructor$[29:12,30:4]",2,1,0,0,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableEmpty://subscribeActual$[33:11,35:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableEmpty://get$[38:11,40:4]",3,1,0,0,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounceTimed://ObservableDebounceTimed.constructor$[34:11,40:4]",7,1,0,5,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounceTimed://subscribeActual$[43:11,46:4]",4,1,0,1,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnTerminate://MaybeDoOnTerminate.constructor$[27:11,30:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnTerminate://subscribeActual$[33:14,35:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://ImmediateThinScheduler.initializer$[40:4,43:4]",4,1,0,0,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://ImmediateThinScheduler.constructor$[45:12,47:4]",2,1,0,0,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://scheduleDirect$[51:11,54:4]",4,1,0,1,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://scheduleDirect$[58:11,60:4]",3,1,0,3,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://schedulePeriodicallyDirect$[64:11,66:4]",3,1,0,4,0
"io.reactivex.rxjava3.internal.schedulers.ImmediateThinScheduler://createWorker$[70:11,72:4]",3,1,0,0,0
"io.reactivex.rxjava3.core.FlowableTransformer://apply$[35:4,35:69]",1,1,0,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounce://ObservableDebounce.constructor$[30:11,33:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDebounce://subscribeActual$[36:11,38:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapSingle://FlowableConcatMapSingle.constructor$[48:11,55:4]",7,1,0,4,0
"io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapSingle://subscribeActual$[58:14,60:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableThrottleFirstTimed://ObservableThrottleFirstTimed.constructor$[33:11,44:4]",8,1,0,5,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableThrottleFirstTimed://subscribeActual$[47:11,52:4]",6,1,0,1,0
"io.reactivex.rxjava3.internal.operators.mixed.SingleFlatMapObservable://SingleFlatMapObservable.constructor$[39:11,43:4]",5,1,0,2,0
"io.reactivex.rxjava3.internal.operators.mixed.SingleFlatMapObservable://subscribeActual$[46:14,50:4]",5,1,0,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDoOnEach://ObservableDoOnEach.constructor$[29:11,38:4]",8,1,0,5,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableDoOnEach://subscribeActual$[41:11,43:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableScalarXMap://ObservableScalarXMap.constructor$[33:12,35:4]",3,1,0,0,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableScalarXMap://tryScalarXMapSubscribe$[47:25,101:4]",43,9,16,3,0
"io.reactivex.rxjava3.internal.operators.observable.ObservableScalarXMap://scalarXMap$[113:25,116:4]",4,1,0,2,0
"io.reactivex.rxjava3.core.ObservableSource://subscribe$[33:4,33:57]",1,1,0,1,0
"io.reactivex.rxjava3.core.FlowableSubscriber://onSubscribe$[42:4,42:45]",1,1,0,1,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnEvent://MaybeDoOnEvent.constructor$[32:11,35:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeDoOnEvent://subscribeActual$[38:14,40:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableSwitchIfEmpty://FlowableSwitchIfEmpty.constructor$[23:11,26:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableSwitchIfEmpty://subscribeActual$[29:14,33:4]",5,1,0,1,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://HalfSerializer.constructor$[29:12,31:4]",3,1,0,0,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onNext$[43:22,53:4]",11,4,4,4,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onError$[64:18,71:4]",8,3,3,4,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onComplete$[80:18,84:4]",5,2,1,3,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onNext$[95:22,103:4]",9,4,4,4,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onError$[114:18,121:4]",8,3,3,4,0
"io.reactivex.rxjava3.internal.util.HalfSerializer://onComplete$[130:18,134:4]",5,2,1,3,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableHide://FlowableHide.constructor$[29:11,31:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.flowable.FlowableHide://subscribeActual$[34:14,36:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletable://ObservableSwitchMapCompletable.constructor$[43:11,48:4]",6,1,0,3,0
"io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletable://subscribeActual$[51:14,55:4]",5,2,1,1,0
"io.reactivex.rxjava3.internal.util.ListAddBiConsumer://instance$[25:22,27:4]",3,1,0,0,0
"io.reactivex.rxjava3.internal.util.ListAddBiConsumer://apply$[31:11,34:4]",4,1,0,2,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatArray://MaybeConcatArray.constructor$[35:11,37:4]",3,1,0,1,0
"io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatArray://subscribeActual$[40:14,44:4]",5,1,0,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://create$[193:22,195:4]",3,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://createDefault$[211:31,214:4]",4,1,0,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://BehaviorProcessor.constructor$[221:4,228:4]",8,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://BehaviorProcessor.constructor$[236:4,239:4]",4,1,0,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://subscribeActual$[242:14,259:4]",18,7,8,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onSubscribe$[262:11,268:4]",7,2,1,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onNext$[271:11,282:4]",11,3,2,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onError$[285:11,295:4]",11,3,2,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://onComplete$[298:11,306:4]",9,3,2,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://offer$[321:11,338:4]",15,4,4,1,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://hasSubscribers$[342:11,344:4]",3,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://subscriberCount$[347:22,349:4]",3,1,0,0,0
"io.reactivex.rxjava3.processors.BehaviorProcessor://getThrowable$[354:11,360:4]",7,2,1,0,0
