"DeclarableId","MLOC","WMC","CWMC","DIT","NOC","CBO","RFC","LCOM","NOU","LC"
"org.springframework.cglib.core.MethodInfoTransformer",15,5,3,0,0,8,4,2,2,0
"org.springframework.cglib.core.internal.Function",3,1,0,0,0,2,1,1,1,0
"org.springframework.aot.generate.GeneratedClasses",76,12,1,0,0,47,23,1,11,2
"org.springframework.cglib.reflect.ConstructorDelegate",80,2,0,0,0,45,4,1,2,0
"org.springframework.cglib.transform.impl.UndeclaredThrowableStrategy",12,2,0,1,0,7,4,1,2,1
"org.springframework.util.comparator.NullSafeComparator",44,16,12,0,0,24,4,1,6,0
"org.springframework.core.annotation.MergedAnnotationSelectors",36,3,0,0,0,17,2,1,3,0
"org.springframework.asm.MethodTooLargeException",30,5,0,0,0,4,4,1,5,0
"org.springframework.asm.ModuleVisitor",60,25,10,0,1,18,8,1,10,0
"org.springframework.core.io.buffer.DataBufferUtils",604,59,53,0,0,347,64,1,25,21
"org.springframework.util.comparator.BooleanComparator",21,11,7,0,0,8,5,1,5,0
"org.springframework.aot.hint.support.SpringFactoriesLoaderRuntimeHints",60,13,14,0,0,25,12,1,4,1
"org.springframework.cglib.core.ProcessSwitchCallback",4,2,0,0,0,0,2,2,2,0
"org.springframework.core.style.StylerUtils",6,1,0,0,0,4,1,2,1,0
"org.springframework.core.io.buffer.TouchableDataBuffer",3,1,0,1,1,0,1,1,1,0
"org.springframework.core.metrics.jfr.FlightRecorderStartupStep",87,10,1,0,0,59,19,1,9,1
"org.springframework.cglib.beans.BulkBean",89,8,0,0,0,35,12,1,8,0
"org.springframework.core.metrics.StartupStep",15,7,0,0,0,0,6,6,7,0
"org.springframework.cglib.proxy.MixinEverythingEmitter",17,4,1,4,0,9,7,1,3,0
"org.springframework.core.BridgeMethodResolver",118,43,44,0,0,35,32,2,10,1
"org.springframework.core.io.WritableResource",9,3,0,2,0,1,4,2,3,0
"org.springframework.cglib.beans.BeanMapEmitter",151,17,12,3,0,117,41,2,8,0
"org.springframework.core.annotation.MergedAnnotationPredicates",52,7,3,0,0,39,13,2,6,5
"org.springframework.core.annotation.MergedAnnotationCollectors",42,10,1,0,0,28,15,2,9,4
"org.springframework.asm.TypePath",84,28,24,0,0,30,15,1,7,0
"org.springframework.core.convert.support.ByteBufferConverter",59,18,11,0,0,30,17,2,8,0
"org.springframework.cglib.proxy.CallbackInfo",80,20,17,0,0,50,8,1,9,0
"org.springframework.cglib.core.GeneratorStrategy",4,2,0,0,0,0,2,2,2,0
"org.springframework.cglib.core.AbstractClassGenerator",219,42,19,0,3,78,40,2,25,2
"org.springframework.cglib.core.Constants",0,0,0,0,0,669,0,0,0,0
"org.springframework.core.io.support.PathMatchingResourcePatternResolver",485,117,141,0,0,305,111,3,27,6
"org.springframework.core.metrics.jfr.FlightRecorderStartupEvent",14,2,0,1,0,4,1,1,2,0
"org.springframework.cglib.core.AsmApi",7,2,0,0,0,1,1,2,2,0
"org.springframework.cglib.util.StringSwitcher",79,3,0,0,0,37,6,2,3,0
"org.springframework.core.env.ProfilesParser",128,27,18,0,0,42,28,2,12,7
"org.springframework.util.xml.StaxStreamXMLReader",208,72,76,2,0,134,67,2,12,0
"org.springframework.aot.hint.predicate.SerializationHintsPredicates",13,3,0,0,0,8,8,2,3,2
"org.springframework.core.annotation.AnnotationTypeMappings",121,30,26,0,0,71,31,1,13,2
"org.springframework.core.env.AbstractPropertyResolver",124,37,19,0,1,48,31,1,21,0
"org.springframework.aot.hint.predicate.ReflectionHintsPredicates",191,15,4,0,0,161,22,2,11,11
"org.springframework.core.convert.support.ObjectToStringConverter",5,1,0,0,0,1,2,1,1,0
"org.springframework.core.env.ConfigurableEnvironment",9,7,0,2,0,0,7,7,7,0
"org.springframework.aot.generate.MethodReference",29,3,0,0,0,5,2,2,3,3
"org.springframework.cglib.core.Customizer",3,1,0,1,0,0,1,1,1,0
"org.springframework.core.convert.support.IntegerToEnumConverterFactory",14,1,0,0,0,5,3,1,1,0
"org.springframework.util.function.SupplierUtils",5,2,1,0,0,1,2,1,1,0
"org.springframework.core.io.Resource",23,13,0,1,2,1,15,12,13,0
"org.springframework.core.convert.ConversionException",8,2,0,1,2,0,0,12,2,0
"org.springframework.cglib.proxy.InterfaceMaker",52,12,4,1,0,25,24,7,9,0
"org.springframework.core.convert.support.ConfigurableConversionService",0,0,0,1,0,0,0,0,0,0
"org.springframework.core.task.support.ExecutorServiceAdapter",28,7,0,1,0,7,7,4,7,0
"org.springframework.aot.hint.ProxyHints",20,4,0,0,0,10,8,2,4,2
"org.springframework.aot.hint.AbstractTypeReference",48,16,6,0,3,15,12,2,10,0
"org.springframework.core.ReactiveAdapter",39,9,1,0,0,15,9,1,8,0
"org.springframework.core.NamedThreadLocal",10,2,0,0,0,3,1,1,2,0
"org.springframework.core.codec.ByteBufferDecoder",18,5,2,0,0,9,10,3,3,0
"org.springframework.util.function.ThrowingConsumer",34,8,2,0,0,5,7,1,6,0
"org.springframework.cglib.transform.impl.InterceptFieldEnabled",4,2,0,0,0,0,2,2,2,0
"org.springframework.core.codec.DataBufferEncoder",29,10,5,0,0,13,13,3,5,1
"org.springframework.util.AutoPopulatingList",151,33,6,0,0,95,21,1,29,0
"org.springframework.core.env.StandardEnvironment",15,3,0,1,0,4,6,1,3,0
"org.springframework.core.SpringVersion",8,3,1,0,0,1,3,2,2,0
"org.springframework.cglib.proxy.FixedValueGenerator",19,3,1,0,0,14,12,2,2,0
"org.springframework.core.type.classreading.SimpleMetadataReader",32,6,1,0,0,14,7,1,5,0
"org.springframework.asm.ClassReader",2478,897,447,0,0,709,99,1,50,0
