"DeclarableId","ULOC","CC","COCO","PC","LLOC"
"org.springframework.cglib.core.MethodInfoTransformer://getInstance$[26:18,28:4]",3,1,0,0,0
"org.springframework.cglib.core.MethodInfoTransformer://transform$[31:11,39:4]",9,4,3,1,0
"org.springframework.cglib.core.internal.Function://apply$[4:4,4:18]",1,1,0,1,0
"org.springframework.aot.generate.GeneratedClasses://GeneratedClasses.constructor$[55:1,57:1]",3,1,0,1,0
"org.springframework.aot.generate.GeneratedClasses://GeneratedClasses.constructor$[59:9,65:1]",7,1,0,3,0
"org.springframework.aot.generate.GeneratedClasses://getOrAddForFeature$[78:8,87:1]",9,1,0,2,1
"org.springframework.aot.generate.GeneratedClasses://getOrAddForFeatureComponent$[101:8,112:1]",11,1,0,3,2
"org.springframework.aot.generate.GeneratedClasses://getOrAddForFeatureComponent$[126:8,130:1]",4,1,0,3,0
"org.springframework.aot.generate.GeneratedClasses://addForFeature$[140:8,144:1]",5,1,0,2,0
"org.springframework.aot.generate.GeneratedClasses://addForFeatureComponent$[155:8,162:1]",7,1,0,3,0
"org.springframework.aot.generate.GeneratedClasses://addForFeatureComponent$[173:8,177:1]",4,1,0,3,0
"org.springframework.aot.generate.GeneratedClasses://createAndAddGeneratedClass$[179:9,186:1]",7,1,0,3,0
"org.springframework.aot.generate.GeneratedClasses://writeTo$[193:1,200:1]",8,2,1,1,0
"org.springframework.aot.generate.GeneratedClasses://withFeatureNamePrefix$[202:1,205:1]",4,1,0,1,0
"org.springframework.cglib.reflect.ConstructorDelegate://ConstructorDelegate.constructor$[46:14,47:4]",2,1,0,0,0
"org.springframework.cglib.reflect.ConstructorDelegate://create$[49:18,54:4]",6,1,0,2,0
"org.springframework.cglib.transform.impl.UndeclaredThrowableStrategy://UndeclaredThrowableStrategy.constructor$[45:11,47:4]",3,1,0,1,0
"org.springframework.cglib.transform.impl.UndeclaredThrowableStrategy://transform$[52:11,56:4]",5,1,0,1,0
"org.springframework.util.comparator.NullSafeComparator://NullSafeComparator.constructor$[73:9,76:1]",4,1,0,1,0
"org.springframework.util.comparator.NullSafeComparator://NullSafeComparator.constructor$[87:8,91:1]",5,1,0,2,0
"org.springframework.util.comparator.NullSafeComparator://compare$[95:8,106:1]",12,6,7,2,0
"org.springframework.util.comparator.NullSafeComparator://equals$[111:8,120:1]",10,4,3,1,0
