DeclarableId,S_COCO,S_LOC
org.antlr.v4.Tool,216,0
org.antlr.v4.semantics.SymbolChecks,184,0
org.antlr.v4.automata.LexerATNFactory,182,0
org.antlr.v4.tool.GrammarTransformPipeline,180,0
org.antlr.v4.tool.Grammar,168,0
org.antlr.v4.tool.DOTGenerator,133,0
org.antlr.v4.semantics.BasicSemanticChecks,104,0
org.antlr.v4.automata.ParserATNFactory,104,0
org.antlr.v4.parse.ScopeParser,103,0
org.antlr.v4.misc.CharSupport,102,0
org.antlr.v4.codegen.model.RuleFunction,88,0
org.antlr.v4.analysis.LeftRecursiveRuleAnalyzer,84,0
org.antlr.v4.codegen.Target,81,0
org.antlr.v4.automata.ATNOptimizer,75,0
org.antlr.v4.codegen.CodeGenPipeline,74,0
org.antlr.v4.semantics.SemanticPipeline,64,0
org.antlr.v4.gui.Interpreter,62,0
org.antlr.v4.tool.Rule,62,0
org.antlr.v4.codegen.OutputModelController,56,0
org.antlr.v4.gui.TreeViewer,56,0
org.antlr.v4.codegen.ParserFactory,54,0
org.antlr.v4.semantics.AttributeChecks,51,0
org.antlr.v4.tool.ast.GrammarAST,48,0
org.antlr.v4.gui.TestRig,47,0
org.antlr.v4.automata.ATNPrinter,46,0
org.antlr.v4.tool.GrammarParserInterpreter,44,0
org.antlr.v4.misc.EscapeSequenceParsing,42,0
org.antlr.v4.tool.LeftRecursiveRule,37,0
org.antlr.v4.tool.BuildDependencyGenerator,35,0
org.antlr.v4.tool.ErrorManager,33,0
org.antlr.v4.unicode.UnicodeDataTemplateController,33,0
org.antlr.v4.codegen.OutputModelWalker,32,0
org.antlr.v4.misc.Utils,29,0
org.antlr.v4.codegen.model.ElementFrequenciesVisitor,26,0
org.antlr.v4.analysis.LeftRecursiveRuleTransformer,26,0
org.antlr.v4.codegen.ActionTranslator,25,0
org.antlr.v4.parse.TokenVocabParser,23,0
org.antlr.v4.tool.Alternative,22,0
org.antlr.v4.analysis.LeftRecursionDetector,22,0
org.antlr.v4.automata.TailEpsilonRemover,21,0
org.antlr.v4.semantics.RuleCollector,19,0
org.antlr.v4.analysis.AnalysisPipeline,18,0
org.antlr.v4.gui.GraphicsSupport,18,0
org.antlr.v4.codegen.model.decl.StructDecl,17,0
org.antlr.v4.misc.Graph,15,0
org.antlr.v4.tool.LabelElementPair,14,0
org.antlr.v4.codegen.model.LeftRecursiveRuleFunction,14,0
org.antlr.v4.automata.RangeBorderCharactersData,14,0
org.antlr.v4.codegen.model.Recognizer,14,0
org.antlr.v4.tool.ast.GrammarASTWithOptions,13,0
org.antlr.v4.semantics.UseDefAnalyzer,12,0
org.antlr.v4.codegen.CodeGenerator,10,0
org.antlr.v4.codegen.target.GoTarget,10,0
org.antlr.v4.codegen.model.TestSetInline,10,0
org.antlr.v4.tool.LeftRecursionCyclesMessage,9,0
org.antlr.v4.codegen.model.ListenerFile,9,0
org.antlr.v4.codegen.model.VisitorFile,9,0
org.antlr.v4.gui.Trees,8,0
org.antlr.v4.tool.ANTLRMessage,7,0
org.antlr.v4.codegen.target.CppTarget,7,0
org.antlr.v4.tool.ast.GrammarRootAST,7,0
org.antlr.v4.codegen.model.InvokeRule,7,0
org.antlr.v4.codegen.model.SrcOp,7,0
org.antlr.v4.parse.GrammarToken,6,0
org.antlr.v4.codegen.model.SemPred,6,0
org.antlr.v4.gui.TreePostScriptGenerator,6,0
org.antlr.v4.codegen.UnicodeEscapes,6,0
org.antlr.v4.codegen.model.decl.CodeBlock,5,0
org.antlr.v4.gui.PostScriptDocument,5,0
org.antlr.v4.tool.ast.RuleAST,5,0
org.antlr.v4.codegen.model.Action,4,0
org.antlr.v4.codegen.model.decl.AltLabelStructDecl,4,0
org.antlr.v4.codegen.model.Choice,4,0
org.antlr.v4.parse.GrammarASTAdaptor,4,0
org.antlr.v4.codegen.model.OutputFile,4,0
org.antlr.v4.semantics.SymbolCollector,4,0
org.antlr.v4.parse.ToolANTLRParser,4,0
org.antlr.v4.gui.TreeLayoutAdaptor,4,0
org.antlr.v4.gui.BasicFontMetrics,3,0
org.antlr.v4.codegen.model.decl.ContextGetterDecl,3,0
org.antlr.v4.codegen.model.decl.Decl,3,0
org.antlr.v4.tool.DefaultToolListener,3,0
org.antlr.v4.misc.FrequencySet,3,0
org.antlr.v4.gui.JFileChooserConfirmOverwrite,3,0
org.antlr.v4.tool.LexerGrammar,3,0
org.antlr.v4.codegen.model.Loop,3,0
org.antlr.v4.codegen.model.SerializedJavaATN,3,0
org.antlr.v4.semantics.ActionSniffer,2,0
org.antlr.v4.automata.ATNVisitor,2,0
org.antlr.v4.tool.Attribute,2,0
org.antlr.v4.tool.AttributeDict,2,0
org.antlr.v4.codegen.DefaultOutputModelFactory,2,0
org.antlr.v4.codegen.model.Lexer,2,0
org.antlr.v4.codegen.model.LL1Loop,2,0
org.antlr.v4.codegen.model.RuleElement,2,0
org.antlr.v4.codegen.model.CodeBlockForOuterMostAlt,1,0
org.antlr.v4.tool.GrammarSemanticsMessage,1,0
org.antlr.v4.tool.GrammarSyntaxMessage,1,0
org.antlr.v4.misc.MutableInt,1,0
org.antlr.v4.misc.OrderedHashMap,1,0
org.antlr.v4.codegen.model.ParserFile,1,0
org.antlr.v4.gui.SystemFontMetrics,1,0
org.antlr.v4.tool.ast.ActionAST,0,0
org.antlr.v4.codegen.model.chunk.ActionChunk,0,0
org.antlr.v4.parse.ActionSplitterListener,0,0
org.antlr.v4.codegen.model.chunk.ActionTemplate,0,0
org.antlr.v4.codegen.model.chunk.ActionText,0,0
org.antlr.v4.codegen.model.AddToLabelList,0,0
org.antlr.v4.tool.ast.AltAST,0,0
org.antlr.v4.codegen.model.AltBlock,0,0
org.antlr.v4.tool.ANTLRToolListener,0,0
org.antlr.v4.codegen.model.ArgAction,0,0
org.antlr.v4.codegen.model.chunk.ArgRef,0,0
org.antlr.v4.automata.ATNFactory,0,0
org.antlr.v4.codegen.model.decl.AttributeDecl,0,0
org.antlr.v4.tool.AttributeResolver,0,0
org.antlr.v4.codegen.model.BaseListenerFile,0,0
org.antlr.v4.codegen.model.BaseVisitorFile,0,0
org.antlr.v4.semantics.BlankActionSplitterListener,0,0
org.antlr.v4.codegen.BlankOutputModelFactory,0,0
org.antlr.v4.tool.ast.BlockAST,0,0
org.antlr.v4.codegen.model.CaptureNextToken,0,0
org.antlr.v4.codegen.model.CaptureNextTokenType,0,0
org.antlr.v4.automata.CharactersDataCheckStatus,0,0
org.antlr.v4.codegen.model.CodeBlockForAlt,0,0
org.antlr.v4.codegen.CodeGeneratorExtension,0,0
org.antlr.v4.codegen.model.decl.ContextRuleGetterDecl,0,0
org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,0,0
org.antlr.v4.codegen.model.decl.ContextRuleListIndexedGetterDecl,0,0
org.antlr.v4.codegen.model.decl.ContextTokenGetterDecl,0,0
org.antlr.v4.codegen.model.decl.ContextTokenListGetterDecl,0,0
org.antlr.v4.codegen.model.decl.ContextTokenListIndexedGetterDecl,0,0
org.antlr.v4.codegen.target.CSharpTarget,0,0
org.antlr.v4.codegen.target.DartTarget,0,0
org.antlr.v4.codegen.model.dbg,0,0
org.antlr.v4.codegen.model.DispatchMethod,0,0
org.antlr.v4.codegen.model.decl.ElementListDecl,0,0
org.antlr.v4.tool.ErrorSeverity,0,0
org.antlr.v4.tool.ErrorType,0,0
org.antlr.v4.codegen.model.ExceptionClause,0,0
org.antlr.v4.tool.ast.GrammarASTErrorNode,0,0
org.antlr.v4.tool.ast.GrammarASTVisitor,0,0
org.antlr.v4.tool.GrammarInterpreterRuleContext,0,0
org.antlr.v4.codegen.targetScriptTarget,0,0
org.antlr.v4.codegen.targetTarget,0,0
org.antlr.v4.codegen.model.LabeledOp,0,0
org.antlr.v4.codegen.model.chunk.LabelRef,0,0
org.antlr.v4.tool.LabelType,0,0
org.antlr.v4.analysis.LeftRecursiveRuleAltInfo,0,0
org.antlr.v4.codegen.LexerFactory,0,0
org.antlr.v4.codegen.model.LexerFile,0,0
org.antlr.v4.codegen.model.ListenerDispatchMethod,0,0
org.antlr.v4.codegen.model.chunk.ListLabelRef,0,0
org.antlr.v4.codegen.model.LL1AltBlock,0,0
org.antlr.v4.codegen.model.LL1Choice,0,0
org.antlr.v4.codegen.model.LL1OptionalBlock,0,0
org.antlr.v4.codegen.model.LL1OptionalBlockSingleAlt,0,0
org.antlr.v4.codegen.model.LL1PlusBlockSingleAlt,0,0
