DeclarableId,S_COCO,S_LOC
jenkins.model.Jenkins,670,0
jenkins.install.SetupWizard,182,0
jenkins.security.ClassFilterImpl,113,0
jenkins.util.VirtualFile,104,0
jenkins.widgets.HistoryPageFilter,98,0
jenkins.security.stapler.TypedFilter,89,0
jenkins.model.RunIdMigrator,74,0
jenkins.model.lazy.AbstractLazyLoadRunMap,70,0
jenkins.org.apache.commons.validator.routines.InetAddressValidator,66,0
jenkins.org.apache.commons.validator.routines.UrlValidator,63,0
jenkins.fingerprints.FileFingerprintStorage,61,0
jenkins.triggers.ReverseBuildTrigger,60,0
jenkins.util.JSONSignatureValidator,58,0
jenkins.util.io.PathRemover,58,0
jenkins.model.lazy.LazyBuildMixIn,53,0
jenkins.security.stapler.StaplerDispatchValidator,51,0
jenkins.security.ApiTokenProperty,50,0
jenkins.install.InstallUtil,50,0
jenkins.model.Nodes,46,0
jenkins.security.ResourceDomainConfiguration,44,0
jenkins.model.ParameterizedJobMixIn,42,0
jenkins.util.ProgressiveRendering,42,0
jenkins.org.apache.commons.validator.routines.DomainValidator,39,0
jenkins.model.PeepholePermalink,37,0
jenkins.org.apache.commons.validator.routines.RegexValidator,35,0
jenkins.util.xstream.XStreamDOM,35,0
jenkins.security.apitoken.ApiTokenStats,33,0
jenkins.slaves.DefaultJnlpSlaveReceiver,31,0
jenkins.security.stapler.DoActionFilter,31,0
jenkins.security.stapler.StaticRoutingDecisionProvider,31,0
jenkins.diagnosis.HsErrPidList,30,0
jenkins.model.JenkinsLocationConfiguration,30,0
jenkins.model.identity.InstanceIdentityProvider,28,0
jenkins.util.SystemProperties,27,0
jenkins.security.apitoken.ApiTokenStore,26,0
jenkins.security.apitoken.LegacyApiTokenAdministrativeMonitor,26,0
jenkins.security.ResourceDomainRootAction,25,0
jenkins.ClassLoaderReflectionToolkit,24,0
jenkins.util.MarkFindingOutputStream,24,0
jenkins.tasks.filters.impl.RetainVariablesLocalRule,23,0
jenkins.telemetry.Telemetry,22,0
jenkins.model.ModelObjectWithContextMenu,21,0
jenkins.util.xml.XMLUtils,21,0
jenkins.management.AdministrativeMonitorsDecorator,19,0
jenkins.security.BasicHeaderProcessor,19,0
jenkins.model.lazy.BuildReferenceMapAdapter,19,0
jenkins.util.groovy.GroovyHookScript,19,0
jenkins.security.RedactSecretJsonInErrorMessageSanitizer,19,0
jenkins.security.QueueItemAuthenticator,18,0
jenkins.security.UserDetailsCache,18,0
jenkins.util.DirectedGraph,17,0
jenkins.util.ErrorLoggingScheduledThreadPoolExecutor,17,0
jenkins.scm.RunWithSCM,17,0
jenkins.util.TreeStringBuilder,16,0
jenkins.websocket.WebSockets,16,0
jenkins.model.lazy.BuildReference,15,0
jenkins.security.ConfidentialStore,15,0
jenkins.security.CustomClassFilter,15,0
jenkins.DailyCheck,15,0
jenkins.security.DefaultConfidentialStore,15,0
jenkins.I18n,15,0
jenkins.model.labels.LabelAutoCompleteSeeder,15,0
jenkins.slaves.RemotingWorkDirSettings,15,0
jenkins.security.UpdateSiteWarningsMonitor,15,0
jenkins.PluginSubtypeMarker,14,0
jenkins.util.ResourceBundleUtil,14,0
jenkins.triggers.SCMTriggerItem,14,0
jenkins.tasks.SimpleBuildWrapper,14,0
jenkins.util.TreeString,14,0
jenkins.plugins.DetachedPluginsUtil,13,0
jenkins.slaves.JnlpSlaveAgentProtocol4,13,0
jenkins.cli.StopBuildsCommand,13,0
jenkins.telemetry.impl.UserLanguages,13,0
jenkins.management.AsynchronousAdministrativeMonitor,12,0
jenkins.model.queue.ItemDeletion,12,0
jenkins.security.SecurityListener,12,0
jenkins.util.FullDuplexHttpService,11,0
jenkins.install.InstallState,11,0
jenkins.security.LastGrantedAuthoritiesProperty,11,0
jenkins.security.NonSerializableSecurityContext,11,0
jenkins.slaves.restarter.UnixSlaveRestarter,11,0
jenkins.model.UnlabeledLoadStatistics,11,0
jenkins.agents.WebSocketAgents,11,0
jenkins.security.BasicApiTokenHelper,10,0
jenkins.security.CryptoConfidentialKey,10,0
