"DeclarableId","S_COCO","S_LOC"
com.airbnb.lottie.animation.content.BaseStrokeContent,104,347
com.airbnb.lottie.animation.content.CompoundTrimPathContent,1,16
com.airbnb.lottie.animation.content.Content,0,6
com.airbnb.lottie.animation.content.ContentGroup,58,222
com.airbnb.lottie.animation.content.DrawingContent,0,8
com.airbnb.lottie.animation.content.EllipseContent,10,105
com.airbnb.lottie.animation.content.FillContent,38,169
com.airbnb.lottie.animation.content.GradientFillContent,59,279
com.airbnb.lottie.animation.content.GradientStrokeContent,24,157
com.airbnb.lottie.animation.content.GreedyContent,0,5
com.airbnb.lottie.animation.content.KeyPathElementContent,0,4
com.airbnb.lottie.animation.content.MergePathsContent,21,102
com.airbnb.lottie.animation.content.ModifierContent,0,3
com.airbnb.lottie.animation.content.PathContent,0,5
com.airbnb.lottie.animation.content.PolystarContent,65,272
com.airbnb.lottie.animation.content.RectangleContent,18,146
com.airbnb.lottie.animation.content.RepeaterContent,12,118
com.airbnb.lottie.animation.content.RoundedCornersContent,35,142
com.airbnb.lottie.animation.content.ShapeContent,11,76
com.airbnb.lottie.animation.content.ShapeModifierContent,0,5
com.airbnb.lottie.animation.content.StrokeContent,9,65
com.airbnb.lottie.animation.content.TrimPathContent,1,57
com.airbnb.lottie.animation.keyframe.BaseKeyframeAnimation,31,269
com.airbnb.lottie.animation.keyframe.ColorKeyframeAnimation,5,30
com.airbnb.lottie.animation.keyframe.DropShadowKeyframeAnimation,4,84
com.airbnb.lottie.animation.keyframe.FloatKeyframeAnimation,5,29
com.airbnb.lottie.animation.keyframe.GradientColorKeyframeAnimation,1,17
com.airbnb.lottie.animation.keyframe.IntegerKeyframeAnimation,5,30
com.airbnb.lottie.animation.keyframe.KeyframeAnimation,0,8
com.airbnb.lottie.animation.keyframe.MaskKeyframeAnimation,1,31
com.airbnb.lottie.animation.keyframe.PathKeyframe,3,27
com.airbnb.lottie.animation.keyframe.PathKeyframeAnimation,5,37
com.airbnb.lottie.animation.keyframe.PointKeyframeAnimation,5,30
com.airbnb.lottie.animation.keyframe.ScaleKeyframeAnimation,5,31
com.airbnb.lottie.animation.keyframe.ShapeKeyframeAnimation,3,32
com.airbnb.lottie.animation.keyframe.SplitDimensionPathKeyframeAnimation,21,86
com.airbnb.lottie.animation.keyframe.TextKeyframeAnimation,10,40
com.airbnb.lottie.animation.keyframe.TransformKeyframeAnimation,107,300
com.airbnb.lottie.animation.keyframe.ValueCallbackKeyframeAnimation,1,33
com.airbnb.lottie.animation.LPaint,2,36
com.airbnb.lottie.Cancellable,0,5
com.airbnb.lottie.FontAssetDelegate,0,16
com.airbnb.lottie.ImageAssetDelegate,0,6
com.airbnb.lottie.L,21,122
com.airbnb.lottie.Lottie,0,14
com.airbnb.lottie.LottieAnimationView,71,649
com.airbnb.lottie.LottieComposition,6,259
com.airbnb.lottie.LottieCompositionFactory,93,398
com.airbnb.lottie.LottieConfig,6,85
com.airbnb.lottie.LottieDrawable,161,994
com.airbnb.lottie.LottieImageAsset,2,44
com.airbnb.lottie.LottieListener,0,4
com.airbnb.lottie.LottieLogger,0,8
com.airbnb.lottie.LottieOnCompositionLoadedListener,0,4
com.airbnb.lottie.LottieProperty,0,50
com.airbnb.lottie.LottieResult,6,40
com.airbnb.lottie.LottieTask,19,114
com.airbnb.lottie.LottieTaskIdleListener,0,4
com.airbnb.lottie.manager.FontAssetManager,19,96
com.airbnb.lottie.manager.ImageAssetManager,21,124
com.airbnb.lottie.model.animatable.AnimatableColorValue,0,13
com.airbnb.lottie.model.animatable.AnimatableFloatValue,0,13
com.airbnb.lottie.model.animatable.AnimatableGradientColorValue,6,48
com.airbnb.lottie.model.animatable.AnimatableIntegerValue,0,13
com.airbnb.lottie.model.animatable.AnimatablePathValue,2,28
com.airbnb.lottie.model.animatable.AnimatablePointValue,0,14
com.airbnb.lottie.model.animatable.AnimatableScaleValue,0,17
com.airbnb.lottie.model.animatable.AnimatableShapeValue,0,14
com.airbnb.lottie.model.animatable.AnimatableSplitDimensionPathValue,1,28
com.airbnb.lottie.model.animatable.AnimatableTextFrame,0,13
com.airbnb.lottie.model.animatable.AnimatableTextProperties,0,16
com.airbnb.lottie.model.animatable.AnimatableTransform,0,92
com.airbnb.lottie.model.animatable.AnimatableValue,0,9
com.airbnb.lottie.model.animatable.BaseAnimatableValue,3,28
com.airbnb.lottie.model.content.BlurEffect,0,11
com.airbnb.lottie.model.content.CircleShape,0,42
com.airbnb.lottie.model.content.ContentModel,0,9
com.airbnb.lottie.model.content.GradientColor,6,56
com.airbnb.lottie.model.content.GradientFill,0,67
com.airbnb.lottie.model.content.GradientStroke,0,90
com.airbnb.lottie.model.content.GradientType,0,5
com.airbnb.lottie.model.content.Mask,0,33
com.airbnb.lottie.model.content.MergePaths,2,61
com.airbnb.lottie.model.content.PolystarShape,3,91
com.airbnb.lottie.model.content.RectangleShape,0,47
com.airbnb.lottie.model.content.Repeater,0,42
com.airbnb.lottie.model.content.RoundedCorners,0,25
com.airbnb.lottie.model.content.ShapeData,11,88
com.airbnb.lottie.model.content.ShapeFill,0,51
com.airbnb.lottie.model.content.ShapeGroup,0,33
com.airbnb.lottie.model.content.ShapePath,0,36
com.airbnb.lottie.model.content.ShapeStroke,2,104
com.airbnb.lottie.model.content.ShapeTrimPath,1,62
com.airbnb.lottie.model.CubicCurveData,0,51
com.airbnb.lottie.model.DocumentData,0,64
com.airbnb.lottie.model.Font,0,39
com.airbnb.lottie.model.FontCharacter,0,38
com.airbnb.lottie.model.KeyPath,27,132
com.airbnb.lottie.model.KeyPathElement,0,12
com.airbnb.lottie.model.layer.BaseLayer,104,556
com.airbnb.lottie.model.layer.CompositionLayer,62,194
com.airbnb.lottie.model.layer.ImageLayer,19,98
com.airbnb.lottie.model.layer.Layer,9,193
com.airbnb.lottie.model.layer.NullLayer,0,16
com.airbnb.lottie.model.layer.ShapeLayer,2,53
com.airbnb.lottie.model.layer.SolidLayer,8,80
com.airbnb.lottie.model.layer.TextLayer,132,535
com.airbnb.lottie.model.LottieCompositionCache,2,35
com.airbnb.lottie.model.Marker,2,27
com.airbnb.lottie.model.MutablePair,6,33
com.airbnb.lottie.network.DefaultLottieFetchResult,5,59
com.airbnb.lottie.network.DefaultLottieNetworkFetcher,0,17
com.airbnb.lottie.network.FileExtension,0,17
com.airbnb.lottie.network.LottieFetchResult,0,15
com.airbnb.lottie.network.LottieNetworkCacheProvider,0,6
com.airbnb.lottie.network.LottieNetworkFetcher,0,9
com.airbnb.lottie.network.NetworkCache,19,117
com.airbnb.lottie.network.NetworkFetcher,23,131
com.airbnb.lottie.OnCompositionLoadedListener,0,6
com.airbnb.lottie.parser.AnimatablePathValueParser,17,79
com.airbnb.lottie.parser.AnimatableTextPropertiesParser,7,67
com.airbnb.lottie.parser.AnimatableTransformParser,34,141
com.airbnb.lottie.parser.AnimatableValueParser,1,67
com.airbnb.lottie.parser.BlurEffectParser,17,62
com.airbnb.lottie.parser.CircleShapeParser,3,50
com.airbnb.lottie.parser.ColorParser,7,34
com.airbnb.lottie.parser.ContentModelParser,7,94
com.airbnb.lottie.parser.DocumentDataParser,8,101
com.airbnb.lottie.parser.DropShadowEffect,0,33
com.airbnb.lottie.parser.DropShadowEffectParser,14,79
com.airbnb.lottie.parser.FloatParser,0,11
com.airbnb.lottie.parser.FontCharacterParser,15,73
com.airbnb.lottie.parser.FontParser,3,42
com.airbnb.lottie.parser.GradientColorParser,56,190
com.airbnb.lottie.parser.GradientFillParser,17,90
com.airbnb.lottie.parser.GradientStrokeParser,35,148
com.airbnb.lottie.parser.IntegerParser,0,11
com.airbnb.lottie.parser.JsonUtils,11,104
com.airbnb.lottie.parser.KeyframeParser,125,317
com.airbnb.lottie.parser.KeyframesParser,28,64
com.airbnb.lottie.parser.LayerParser,63,269
com.airbnb.lottie.parser.LottieCompositionMoshiParser,37,248
com.airbnb.lottie.parser.MaskParser,6,59
com.airbnb.lottie.parser.MergePathsParser,3,35
com.airbnb.lottie.parser.moshi.JsonDataException,0,7
com.airbnb.lottie.parser.moshi.JsonEncodingException,0,8
com.airbnb.lottie.parser.moshi.JsonReader,18,134
com.airbnb.lottie.parser.moshi.JsonScope,6,37
com.airbnb.lottie.parser.moshi.JsonUtf8Reader,268,853
com.airbnb.lottie.parser.moshi.LinkedHashTreeMap,162,591
com.airbnb.lottie.parser.PathKeyframeParser,0,19
com.airbnb.lottie.parser.PathParser,0,12
com.airbnb.lottie.parser.PointFParser,6,26
com.airbnb.lottie.parser.PolystarShapeParser,3,82
com.airbnb.lottie.parser.RectangleShapeParser,3,50
com.airbnb.lottie.parser.RepeaterParser,3,48
com.airbnb.lottie.parser.RoundedCornersParser,4,42
com.airbnb.lottie.parser.ScaleXYParser,3,24
com.airbnb.lottie.parser.ShapeDataParser,10,84
com.airbnb.lottie.parser.ShapeFillParser,5,59
com.airbnb.lottie.parser.ShapeGroupParser,10,46
com.airbnb.lottie.parser.ShapePathParser,3,42
com.airbnb.lottie.parser.ShapeStrokeParser,23,113
com.airbnb.lottie.parser.ShapeTrimPathParser,3,53
com.airbnb.lottie.parser.ValueParser,0,6
com.airbnb.lottie.PerformanceTracker,9,83
com.airbnb.lottie.RenderMode,5,23
com.airbnb.lottie.SimpleColorFilter,0,9
com.airbnb.lottie.TextDelegate,5,66
com.airbnb.lottie.utils.BaseLottieAnimator,17,95
com.airbnb.lottie.utils.GammaEvaluator,3,38
com.airbnb.lottie.utils.LogcatLogger,3,32
com.airbnb.lottie.utils.Logger,0,23
com.airbnb.lottie.utils.LottieValueAnimator,54,248
com.airbnb.lottie.utils.MeanCalculator,2,19
com.airbnb.lottie.utils.MiscUtils,10,79
com.airbnb.lottie.utils.Utils,39,257
com.airbnb.lottie.value.Keyframe,13,149
com.airbnb.lottie.value.LottieFrameInfo,0,51
com.airbnb.lottie.value.LottieInterpolatedFloatValue,0,15
com.airbnb.lottie.value.LottieInterpolatedIntegerValue,0,15
com.airbnb.lottie.value.LottieInterpolatedPointValue,0,21
com.airbnb.lottie.value.LottieInterpolatedValue,0,21
com.airbnb.lottie.value.LottieRelativeFloatValueCallback,1,28
com.airbnb.lottie.value.LottieRelativeIntegerValueCallback,1,22
com.airbnb.lottie.value.LottieRelativePointValueCallback,1,36
com.airbnb.lottie.value.LottieValueCallback,1,53
com.airbnb.lottie.value.ScaleXY,1,28
com.airbnb.lottie.value.SimpleLottieValueCallback,0,4
