DeclarableId,S_COCO,S_LOC
org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMaker,125,
org.mockito.internal.matchers.apachecommons.EqualsBuilder,110,
org.mockito.internal.creation.bytebuddy.MockMethodAdvice,110,
org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator,72,
org.mockito.internal.creation.bytebuddy.SubclassBytecodeGenerator,68,
org.mockito.internal.util.reflection.GenericMetadataSupport,54,
org.mockito.internal.creation.instance.ConstructorInstantiator,46,
org.mockito.internal.util.reflection.InstrumentationMemberAccessor,46,
org.mockito.internal.MockitoCore,42,
org.mockito.internal.invocation.InvocationsFinder,37,
org.mockito.internal.exceptions.Reporter,33,
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,33,
org.mockito.internal.creation.bytebuddy.ModuleHandler,31,
org.mockito.internal.stubbing.defaultanswers.RetrieveGenericsForDefaultAnswers,31,
org.mockito.internal.matchers.ArrayEquals,28,
org.mockito.internal.exceptions.stacktrace.StackTraceFilter,28,
org.mockito.internal.configuration.SpyAnnotationEngine,25,
org.mockito.internal.util.concurrent.WeakConcurrentMap,25,
org.mockito.internal.creation.proxy.ProxyMockMaker,24,
org.mockito.internal.util.MockUtil,23,
org.mockito.internal.configuration.IndependentAnnotationEngine,22,
org.mockito.internal.creation.MockSettingsImpl,22,
org.mockito.internal.matchers.text.ValuePrinter,22,
org.mockito.internal.progress.MockingProgressImpl,20,
org.mockito.internal.creation.bytebuddy.StackWalkerChecker,20,
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool,19,
org.mockito.internal.invocation.SerializableMethod,19,
org.mockito.internal.util.reflection.FieldInitializer,18,
org.mockito.internal.creation.bytebuddy.SubclassInjectionLoader,18,
org.mockito.internal.configuration.MockAnnotationProcessor,17,
org.mockito.internal.stubbing.answers.ReturnsArgumentAt,17,
org.mockito.internal.creation.bytebuddy.SubclassByteBuddyMockMaker,17,
org.mockito.internal.util.reflection.GenericTypeExtractor,16,
org.mockito.internal.creation.bytebuddy.StackTraceChecker,16,
org.mockito.internal.invocation.ArgumentsProcessor,15,
org.mockito.internal.matchers.text.MatchersPrinter,15,
