DeclarableId,S_COCO,S_LOC
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMap,294,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableWindowTimed,218,0
io.reactivex.rxjava3.subjects.ReplaySubject,218,0
io.reactivex.rxjava3.processors.MulticastProcessor,208,0
io.reactivex.rxjava3.processors.ReplayProcessor,207,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableReplay,200,0
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMap,194,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatMap,182,0
io.reactivex.rxjava3.internal.operators.observable.ObservableWindowTimed,176,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelJoin,174,0
io.reactivex.rxjava3.internal.operators.flowable.FlowablePublishMulticast,173,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableObserveOn,169,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatMapScheduler,164,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableGroupBy,164,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableSwitchMap,151,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableCreate,141,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelFromPublisher,141,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableZip,137,0
io.reactivex.rxjava3.internal.operators.observable.ObservableReplay,134,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromIterable,130,0
io.reactivex.rxjava3.internal.operators.flowable.FlowablePublish,129,0
io.reactivex.rxjava3.internal.util.QueueDrainHelper,128,0
io.reactivex.rxjava3.internal.operators.observable.ObservableSwitchMap,122,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlattenIterable,116,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelRunOn,112,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatMapEager,111,0
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapEager,105,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableWindow,101,0
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMap,99,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapMaybe,98,0
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapScheduler,98,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableThrottleLatest,97,0
io.reactivex.rxjava3.internal.jdk8.FlowableFlatMapStream,95,0
io.reactivex.rxjava3.internal.subscriptions.SubscriptionArbiter,91,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableJoin,88,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableCombineLatest,87,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapSingle,87,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableSequenceEqual,85,0
io.reactivex.rxjava3.internal.schedulers.ExecutorScheduler,83,0
io.reactivex.rxjava3.subjects.UnicastSubject,81,0
io.reactivex.rxjava3.exceptions.CompositeException,80,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableWindowBoundarySelector,80,0
io.reactivex.rxjava3.internal.operators.observable.ObservableThrottleLatest,80,0
io.reactivex.rxjava3.core.Observable,78,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableGroupJoin,77,0
io.reactivex.rxjava3.internal.operators.observable.ObservableZip,77,0
io.reactivex.rxjava3.processors.UnicastProcessor,77,0
io.reactivex.rxjava3.core.Flowable,75,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithMaybe,74,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableMergeWithSingle,74,0
io.reactivex.rxjava3.processors.BehaviorProcessor,73,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelSortedJoin,73,0
io.reactivex.rxjava3.internal.jdk8.MaybeFlattenStreamAsFlowable,72,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureBuffer,71,0
io.reactivex.rxjava3.internal.operators.maybe.MaybeMergeArray,71,0
io.reactivex.rxjava3.internal.operators.observable.ObservableGroupJoin,71,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableFromArray,70,0
io.reactivex.rxjava3.internal.jdk8.FlowableFromStream,70,0
io.reactivex.rxjava3.internal.operators.observable.ObservableObserveOn,70,0
io.reactivex.rxjava3.internal.operators.observable.ObservableGroupBy,69,0
io.reactivex.rxjava3.plugins.RxJavaPlugins,69,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableSequenceEqualSingle,68,0
io.reactivex.rxjava3.internal.operators.observable.ObservableJoin,68,0
io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBoundarySelector,68,0
io.reactivex.rxjava3.observers.BaseTestConsumer,67,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableWindowBoundary,67,0
io.reactivex.rxjava3.subjects.BehaviorSubject,63,0
io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBoundary,62,0
io.reactivex.rxjava3.internal.operators.observable.ObservableCombineLatest,60,0
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapMaybe,59,0
io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapMaybe,58,0
io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapSingle,58,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableOnBackpressureBufferStrategy,58,0
io.reactivex.rxjava3.internal.operators.maybe.MaybeFlatMapIterableFlowable,58,0
io.reactivex.rxjava3.internal.operators.single.SingleFlatMapIterableFlowable,58,0
io.reactivex.rxjava3.internal.operators.observable.ObservableSequenceEqual,56,0
io.reactivex.rxjava3.internal.operators.observable.ObservableSequenceEqualSingle,56,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableRange,55,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableRangeLong,55,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableCache,54,0
io.reactivex.rxjava3.internal.jdk8.MaybeFlattenStreamAsObservable,54,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableAmb,53,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableBufferBoundary,52,0
io.reactivex.rxjava3.processors.AsyncProcessor,51,0
io.reactivex.rxjava3.subjects.AsyncSubject,51,0
io.reactivex.rxjava3.internal.operators.observable.ObservableFlatMapSingle,50,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableBuffer,49,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableScanSeed,49,0
io.reactivex.rxjava3.internal.operators.observable.ObservablePublish,49,0
io.reactivex.rxjava3.processors.PublishProcessor,49,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoOnEach,48,0
io.reactivex.rxjava3.subjects.MaybeSubject,48,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelReduceFull,48,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeLastTimed,47,0
io.reactivex.rxjava3.internal.operators.observable.ObservableCache,47,0
io.reactivex.rxjava3.internal.subscriptions.DeferredScalarSubscription,46,0
io.reactivex.rxjava3.internal.operators.maybe.MaybeCache,46,0
io.reactivex.rxjava3.internal.operators.observable.ObservableSkipLastTimed,46,0
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapMaybe,46,0
io.reactivex.rxjava3.internal.subscriptions.SubscriptionHelper,46,0
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapMaybe,45,0
io.reactivex.rxjava3.internal.operators.observable.ObservableAmb,45,0
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapSingle,45,0
io.reactivex.rxjava3.internal.util.OpenHashSet,45,0
io.reactivex.rxjava3.internal.operators.parallel.ParallelFilterTry,45,0
io.reactivex.rxjava3.disposables.CompositeDisposable,44,0
io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapCompletable,44,0
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapSingle,44,0
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapMaybe,44,0
io.reactivex.rxjava3.internal.operators.mixed.ObservableConcatMapSingle,44,0
io.reactivex.rxjava3.internal.operators.completable.CompletableConcat,43,0
io.reactivex.rxjava3.internal.operators.observable.ObservableCreate,43,0
io.reactivex.rxjava3.internal.subscribers.QueueDrainSubscriber,43,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatArray,42,0
io.reactivex.rxjava3.internal.operators.maybe.MaybeUsing,42,0
io.reactivex.rxjava3.subjects.PublishSubject,42,0
io.reactivex.rxjava3.internal.schedulers.ScheduledRunnable,41,0
io.reactivex.rxjava3.internal.operators.flowable.FlowableSkipLastTimed,40,0
io.reactivex.rxjava3.internal.operators.observable.ObservableBufferTimed,40,0
io.reactivex.rxjava3.internal.jdk8.ParallelCollector,40,0
io.reactivex.rxjava3.subjects.SingleSubject,40,0
io.reactivex.rxjava3.subjects.CompletableSubject,39,0
